jis_code,url
26100,
26201,https://www.city.fukuchiyama.lg.jp/soshiki/33/70664.html
26202,
26203,
26204,https://www.city.uji.kyoto.jp/soshiki/63/98822.html
26205,
26206,https://www.city.kameoka.kyoto.jp/uploaded/attachment/11477.pdf
26207,
26208,
26209,
26210,
26211,
26212,
26213,https://www.city.nantan.kyoto.jp/www/gove/146/001/000/index_1016524.html
26214,
26303,
26322,
26343,
26344,
26364,
26365,
26366,
26367,
26407,
26463,
26465,https://www.town.yosano.lg.jp/administration/administrative-committee/election-committee/entry_1014/
