jis_code	url	system_type
01000	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A79F3E9AA	d1-law
01100	https://www.city.sapporo.jp/ncms/reiki/d1w_reiki/reiki.html	d1-law
01202	https://krr376.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
01203	https://www1.g-reiki.net/city.otaru/reiki_menu.html	g-reiki
01204	https://www1.city.asahikawa.hokkaido.jp/files/soumu_soumu/d1w_reiki/reiki.html	d1-law
01205	https://www1.g-reiki.net/muroran/reiki_menu.html	g-reiki
01206	https://www1.g-reiki.net/kushiro/reiki_menu.html	g-reiki
01207	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A79F434B1	d1-law
01208	https://lg.joureikun.jp/kitami_city/reiki/	joureikun
01209	https://www.city.yubari.lg.jp/contents/illustrative/reiki_int/reiki_menu.html	taikei
01210	https://www.city.iwamizawa.hokkaido.jp/section/reiki/index.html	taikei
01211	https://www1.g-reiki.net/city.abashiri/reiki_menu.html	g-reiki
01212	https://en3-jg.d1-law.com/rumoi/d1w_reiki/reiki.html	d1-law
01213	https://kra014.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
01214	https://www.city.wakkanai.hokkaido.jp/data/reiki/reiki.html	reiki.html
01215	https://lg.joureikun.jp/bibai_city/reiki/	joureikun
01216	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01217	https://en3-jg.d1-law.com/ebetsu-shi/d1w_reiki/reiki.htm	d1-law
01218	https://www.city.akabira.hokkaido.jp/reiki_int/reiki_menu.html	taikei
01219	https://mombetsu.jp/reiki/reiki_menu.html	taikei
01220	https://en3-jg.d1-law.com/shibetsu/d1w_reiki/reiki.html	d1-law
01221	https://en3-jg.d1-law.com/nayoro/d1w_reiki/reiki.html	d1-law
01222	https://www.city.mikasa.hokkaido.jp/contents/reiki_int/reiki_menu.html	taikei
01223	https://en3-jg.d1-law.com/nemuro/d1w_reiki/reiki.html	d1-law
01224	https://en3-jg.d1-law.com/chitose/d1w_reiki/reiki.html	d1-law
01225	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A79F4356F	d1-law
01226	http://www.city.sunagawa.hokkaido.jp/d1w_reiki/reiki.html	d1-law
01227	https://www.city.utashinai.hokkaido.jp/contents/reiki/reiki.html	reiki.html
01228	https://www1.g-reiki.net/fukagawa/reiki_menu.html	g-reiki
01229	https://en3-jg.d1-law.com/furano/d1w_reiki/reiki.html	d1-law
01230	https://www1.g-reiki.net/noboribetsu2/reiki_menu.html	g-reiki
01231	https://www1.g-reiki.net/eniwa/reiki_menu.html	g-reiki
01233	https://www1.g-reiki.net/date/reiki_menu.html	g-reiki
01234	https://www1.g-reiki.net/kitahiroshima/reiki_menu.html	g-reiki
01235	https://en3-jg.d1-law.com/ishikari/d1w_reiki/reiki.html	d1-law
01236	https://www.city.hokuto.hokkaido.jp/reiki_int/reiki_menu.html	taikei
01303	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01304	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01331	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01332	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01333	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01334	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01337	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01343	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01345	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01346	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01347	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01361	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01362	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01363	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01364	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01367	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01370	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01371	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01391	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01392	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01393	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01394	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01395	https://en3-jg.d1-law.com/niseko/d1w_reiki/reiki.html	d1-law
01396	https://www1.g-reiki.net/vill.makkari/reiki_menu.html	g-reiki
01397	https://en3-jg.d1-law.com/rusutsu/d1w_reiki/reiki.htm	d1-law
01398	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01399	https://www1.g-reiki.net/kyougoku/reiki_menu.html	g-reiki
01400	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01401	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01402	https://www.town.iwanai.hokkaido.jp/d1w_reiki/reiki.html	d1-law
01403	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01404	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01405	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01406	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01407	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01408	http://www.town.yoichi.hokkaido.jp/reikishu/reiki_taikei/r_taikei_03_01.html	reiki_menu
01409	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01423	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01424	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01425	http://houmu.h-chosonkai.gr.jp/~reikidb/top/search	h-chosonkai
01427	https://www1.g-reiki.net/town.yuni/reiki_menu.html	g-reiki
01428	https://www1.g-reiki.net/maoi.naganuma/reiki_menu.html	g-reiki
