jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail	policy_checked_at	policy_fingerprint
01000	https://pref-hokkaido.gijiroku.com/voices/g07v_search.asp	gijiroku.com	enabled			2026-08-02	e8501aa35bb5f70543d58ecf06cda10984f141d4689769fdc16b5ef9f5e6115e
01100	https://sapporo.gijiroku.com/voices/g07v_search.asp	gijiroku.com	enabled			2026-08-02	03b85a6eacc8b10405242f7c1f5c50b4a896fa10e59a714101c259eadaf888a9
01202	https://ssp.kaigiroku.net/tenant/hakodate/SpMinuteSearch.html	kaigiroku.net	enabled				b0337e1de05e398b3b44d08fc86b298a4136db59c971f97a0bac59d22aa823c4
01203	https://www.city.otaru.lg.jp/categories/bunya/gikai/kaigoroku/	独自	enabled			2026-08-02	e9b889459c7a68ac9dd6dd9648464d8ebc1501c25341971c5d70ec5ea8691417
01204	https://ssp.kaigiroku.net/tenant/asahikawa/SpMinuteSearch.html	kaigiroku.net	enabled				2ea965d56cfb9ce639a41e9e47e50e2d14db3407ca8e127200b2d8dd9e8de3a0
01205	https://ssp.kaigiroku.net/tenant/muroran/MinuteSearch.html	kaigiroku.net	enabled				6236abf166212f9a3a3b04d74e3a9304c81dd6e2a3b039ff8e0aa0ad71449d8c
01206	https://ssp.kaigiroku.net/tenant/kushiro/MinuteSearch.html	kaigiroku.net	enabled				dd4a8ad4ea97e312cdc0bc8664fc7e2e2829e677d1c2c6ffb219790215984336
01207	https://ssp.kaigiroku.net/tenant/obihiro/SpMinuteSearch.html	kaigiroku.net	enabled				8c62f62baa55fe8b8c571ccf2215bb6603123eaed38e66767286de91853d608a
01208	https://ssp.kaigiroku.net/tenant/kitami/MinuteSearch.html	kaigiroku.net	enabled				c1f74e7bc63f3f0eac0ef5fa7afca30a30ec8502ab9bb06e10881299681813f0
01209	https://www.city.yubari.lg.jp/site/gikai/list13.html	独自	enabled			2026-08-02	6b2b0fe9ae7a2aaa369cfd688944f9a8e62373e0252fbe9d92deda252401499d
01210	https://iwamizawa-gikai.gijiroku.com/voices/	gijiroku.com	enabled			2026-08-02	a4f2fc2f058765f84430d4d51fa27d0cf11cb5956382dae5beb5196fa285ba1b
01211	https://www.city.abashiri.hokkaido.jp/site/gikai/1581.html	独自	enabled			2026-08-02	93699ae30d3c87c297e1c6244cc18a8bccbe60ce301656949042e0954413cd66
01212	https://rumoi.gijiroku.com/voices/g07v_search.asp	gijiroku.com	enabled			2026-08-02	4ed06befe0bc877e91ca670621a88e89a1758f96490443724eb43d8060a239cf
01213	https://ssp.kaigiroku.net/tenant/tomakomai/SpMinuteSearch.html	kaigiroku.net	enabled				26c343bc16436fe729582d2a4b41c1941efd15be94a1bc86ea2957fbcdffa155
01214	https://ssp.kaigiroku.net/tenant/wakkanai/MinuteSearch.html	kaigiroku.net	enabled				9e9e2de95fc0e8bd78d6a434bb180bcada44677fecfb95a060fc3cb08b9e05c8
01215	https://www.city.bibai.hokkaido.jp/site/gikai/list16.html	独自	enabled	robots_unreachable	https://www.city.bibai.hokkaido.jp/robots.txt / HTTP 403	2026-08-02	18c9acd015ecc41f893a8ce56d6c03d65a390092b49753468176087843584d0d
01216	https://ssp.kaigiroku.net/tenant/ashibetsu/SpMinuteSearch.html	kaigiroku.net	enabled				97e6e9be10c138dd1a21bc9d64746a60e8484e4bd10a60d1b92e850607fdd2f1
01217	https://www.city.ebetsu.hokkaido.jp/soshiki/kodomokateika/38470.html	独自	enabled			2026-08-02	590391606ac9c0c59e2200d32ed85985711f6968d81cbc83000d205865f9b033
01218	https://www.city.akabira.hokkaido.jp/docs/7512.html	独自	enabled			2026-08-02	3b4226c1dcf4cc8b3d8e18708057839f3ec590f6801551f4f201ae41ff00178b
01219	https://mombetsu.jp/gikai/minutes/	独自	enabled			2026-08-02	9b02fe6e3ff3b1d4c3a792737df523f904906cd9e37b723c67463b3356f38571
01220			unresolved	source_url_unresolved	会議録の代表URLを未特定	2026-08-02	f4e7b529b2f42d53c257bc2782b0eb5f954301ab8fd137382d26585cfc739c60
01221	https://ssp.kaigiroku.net/tenant/nayoro/MinuteSearch.html	kaigiroku.net	enabled				dffa40b66459f3575066fa38711d9e52ebc58b1922f54367b71cc8773230fe80
01222	https://www.city.mikasa.hokkaido.jp/assembly/detail/00016816.html	独自	enabled			2026-08-02	9103d21fea7c4ca75454ff2f5fa5c3aa8bf88ccfbdfad176ec9c6c3561a71769
01223	https://ssp.kaigiroku.net/tenant/nemuro/MinuteSearch.html	kaigiroku.net	enabled				57997ad9931796a30fcf6a9555613f6ac237599bac6ad8f67fcc855d12ab7dc1
