jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail
01000	https://www.pref.hokkaido.lg.jp/sm/gms/86018.html	独自	enabled		都道府県（義務） リンク文字『これまでの包括外部監査のテーマと監査結果（令和3』 添付61
01100	https://www.city.sapporo.jp/kansa/f02keka/s093hokatu.html	独自	enabled		政令市（義務） リンク文字『包括外部監査』 添付81
01202	https://www.city.hakodate.hokkaido.jp/docs/2014031700097/	独自	enabled		中核市（義務） リンク文字『包括外部監査』 添付0
01203			unresolved	source_url_unresolved	
01204	https://www.city.asahikawa.hokkaido.jp/700/766/110/p001665.html	独自	enabled		中核市（義務） リンク文字『人事課（コンプライアンス担当）のページ（包括外部』 添付11
01205			unresolved	source_url_unresolved	
01206			unresolved	source_url_unresolved	
01207			unresolved	source_url_unresolved	
01208			unresolved	source_url_unresolved	
01209			unresolved	source_url_unresolved	
01210			unresolved	source_url_unresolved	
01211			unresolved	source_url_unresolved	
01212			unresolved	source_url_unresolved	
01213			unresolved	source_url_unresolved	
01214			unresolved	source_url_unresolved	
01215			unresolved	source_url_unresolved	
01216			unresolved	source_url_unresolved	
01217			unresolved	source_url_unresolved	
01218			unresolved	source_url_unresolved	
01219			unresolved	source_url_unresolved	
01220			unresolved	source_url_unresolved	
01221			unresolved	source_url_unresolved	
01222			unresolved	source_url_unresolved	
01223			unresolved	source_url_unresolved	
01224			unresolved	source_url_unresolved	
01225			unresolved	source_url_unresolved	
01226			unresolved	source_url_unresolved	
01227			unresolved	source_url_unresolved	
01228			unresolved	source_url_unresolved	
01229			unresolved	source_url_unresolved	
01230			unresolved	source_url_unresolved	
01231			unresolved	source_url_unresolved	
01233			unresolved	source_url_unresolved	
01234			unresolved	source_url_unresolved	
01235			unresolved	source_url_unresolved	
01236			unresolved	source_url_unresolved	
01303			unresolved	source_url_unresolved	
01304			unresolved	source_url_unresolved	
01331			unresolved	source_url_unresolved	
01332			unresolved	source_url_unresolved	
01333			unresolved	source_url_unresolved	
01334			unresolved	source_url_unresolved	
01337			unresolved	source_url_unresolved	
01343			unresolved	source_url_unresolved	
01345			unresolved	source_url_unresolved	
01346			unresolved	source_url_unresolved	
01347			unresolved	source_url_unresolved	
01361			unresolved	source_url_unresolved	
01362			unresolved	source_url_unresolved	
01363			unresolved	source_url_unresolved	
01364			unresolved	source_url_unresolved	
01367			unresolved	source_url_unresolved	
01370			unresolved	source_url_unresolved	
01371			unresolved	source_url_unresolved	
01391			unresolved	source_url_unresolved	
01392			unresolved	source_url_unresolved	
01393			unresolved	source_url_unresolved	
01394			unresolved	source_url_unresolved	
01395			unresolved	source_url_unresolved	
01396			unresolved	source_url_unresolved	
01397			unresolved	source_url_unresolved	
01398			unresolved	source_url_unresolved	
01399			unresolved	source_url_unresolved	
01400			unresolved	source_url_unresolved	
01401			unresolved	source_url_unresolved	
01402			unresolved	source_url_unresolved	
01403			unresolved	source_url_unresolved	
01404			unresolved	source_url_unresolved	
01405			unresolved	source_url_unresolved	
01406			unresolved	source_url_unresolved	
01407			unresolved	source_url_unresolved	
01408			unresolved	source_url_unresolved	
01409			unresolved	source_url_unresolved	
01423			unresolved	source_url_unresolved	
01424			unresolved	source_url_unresolved	
01425			unresolved	source_url_unresolved	
01427			unresolved	source_url_unresolved	
01428			unresolved	source_url_unresolved	
01429			unresolved	source_url_unresolved	
01430			unresolved	source_url_unresolved	
01431			unresolved	source_url_unresolved	
01432			unresolved	source_url_unresolved	
01433			unresolved	source_url_unresolved	
01434			unresolved	source_url_unresolved	
01436			unresolved	source_url_unresolved	
01437			unresolved	source_url_unresolved	
01438			unresolved	source_url_unresolved	
01452			unresolved	source_url_unresolved	
01453			unresolved	source_url_unresolved	
01454			unresolved	source_url_unresolved	
01455			unresolved	source_url_unresolved	
01456			unresolved	source_url_unresolved	
01457			unresolved	source_url_unresolved	
01458			unresolved	source_url_unresolved	
01459			unresolved	source_url_unresolved	
01460			unresolved	source_url_unresolved	
01461			unresolved	source_url_unresolved	
01462			unresolved	source_url_unresolved	
01463			unresolved	source_url_unresolved	
01464			unresolved	source_url_unresolved	
01465			unresolved	source_url_unresolved	
01468			unresolved	source_url_unresolved	
01469			unresolved	source_url_unresolved	
01470			unresolved	source_url_unresolved	
01471			unresolved	source_url_unresolved	
01472			unresolved	source_url_unresolved	
01481			unresolved	source_url_unresolved	
01482			unresolved	source_url_unresolved	
01483			unresolved	source_url_unresolved	
01484			unresolved	source_url_unresolved	
01485			unresolved	source_url_unresolved	
01486			unresolved	source_url_unresolved	
01487			unresolved	source_url_unresolved	
01511			unresolved	source_url_unresolved	
01512			unresolved	source_url_unresolved	
01513			unresolved	source_url_unresolved	
01514			unresolved	source_url_unresolved	
01516			unresolved	source_url_unresolved	
01517			unresolved	source_url_unresolved	
01518			unresolved	source_url_unresolved	
01519			unresolved	source_url_unresolved	
01520			unresolved	source_url_unresolved	
01543			unresolved	source_url_unresolved	
01544			unresolved	source_url_unresolved	
01545			unresolved	source_url_unresolved	
01546			unresolved	source_url_unresolved	
01547			unresolved	source_url_unresolved	
01549			unresolved	source_url_unresolved	
01550			unresolved	source_url_unresolved	
01552			unresolved	source_url_unresolved	
01555			unresolved	source_url_unresolved	
01559			unresolved	source_url_unresolved	
01560			unresolved	source_url_unresolved	
01561			unresolved	source_url_unresolved	
01562			unresolved	source_url_unresolved	
01563			unresolved	source_url_unresolved	
01564			unresolved	source_url_unresolved	
01571			unresolved	source_url_unresolved	
01575			unresolved	source_url_unresolved	
01578			unresolved	source_url_unresolved	
01581			unresolved	source_url_unresolved	
01584			unresolved	source_url_unresolved	
01585			unresolved	source_url_unresolved	
01586			unresolved	source_url_unresolved	
01601			unresolved	source_url_unresolved	
01602			unresolved	source_url_unresolved	
01604			unresolved	source_url_unresolved	
01607			unresolved	source_url_unresolved	
01608			unresolved	source_url_unresolved	
01609			unresolved	source_url_unresolved	
01610			unresolved	source_url_unresolved	
01631			unresolved	source_url_unresolved	
01632			unresolved	source_url_unresolved	
01633			unresolved	source_url_unresolved	
01634			unresolved	source_url_unresolved	
01635			unresolved	source_url_unresolved	
01636			unresolved	source_url_unresolved	
01637			unresolved	source_url_unresolved	
01638			unresolved	source_url_unresolved	
01639			unresolved	source_url_unresolved	
01641			unresolved	source_url_unresolved	
01642			unresolved	source_url_unresolved	
01643			unresolved	source_url_unresolved	
01644			unresolved	source_url_unresolved	
01645			unresolved	source_url_unresolved	
01646			unresolved	source_url_unresolved	
01647			unresolved	source_url_unresolved	
01648			unresolved	source_url_unresolved	
01649			unresolved	source_url_unresolved	
01661			unresolved	source_url_unresolved	
01662			unresolved	source_url_unresolved	
01663			unresolved	source_url_unresolved	
01664			unresolved	source_url_unresolved	
01665			unresolved	source_url_unresolved	
01667			unresolved	source_url_unresolved	
01668			unresolved	source_url_unresolved	
01691			unresolved	source_url_unresolved	
01692			unresolved	source_url_unresolved	
01693			unresolved	source_url_unresolved	
01694			unresolved	source_url_unresolved	
01695			unresolved	source_url_unresolved	
01696			unresolved	source_url_unresolved	
01697			unresolved	source_url_unresolved	
01698			unresolved	source_url_unresolved	
01699			unresolved	source_url_unresolved	
01700			unresolved	source_url_unresolved	
02000	https://www.pref.aomori.lg.jp/soshiki/kansa/soshiki.html	独自	review_required	needs_confirmation	都道府県（義務） 本文に『包括外部監査』 添付0 入口かどうか要確認
02201	https://www.city.aomori.aomori.jp/shisei/seido/1006735/1006780.html	独自	review_required	needs_confirmation	中核市（義務） 本文に『包括外部監査』 添付0 入口かどうか要確認
02202			unresolved	source_url_unresolved	
02203	https://www.city.hachinohe.aomori.jp/soshikikarasagasu/kansaiinjimukyoku/4676.html	独自	review_required	needs_confirmation	中核市（義務） 本文に『包括外部監査』 添付21 入口かどうか要確認
02204			unresolved	source_url_unresolved	
02205			unresolved	source_url_unresolved	
02206			unresolved	source_url_unresolved	
