jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail
01000	https://www.pref.hokkaido.lg.jp/ss/sks/a0003/b0001/	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 6 件
01100	https://www.city.sapporo.jp/somu/hyoka/index.html	独自	enabled		2026-09-17 確認: 『行政評価』と『評価調書』／添付2件
01202	https://www.city.hakodate.hokkaido.jp/docs/2015111200056/	独自	enabled		2026-09-17 確認: 『評価結果』と『評価結果一覧』／添付100件
01203	https://www.city.otaru.lg.jp/docs/2021120800026/	独自	enabled		2026-09-17 確認: 『行政評価』と『評価調書』／添付34件
01204	https://www.city.asahikawa.hokkaido.jp/700/735/755/757/d056958.html	独自	enabled		2026-09-17 確認: 『評価結果』と『評価表』／添付21件
01205			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01206			unresolved	source_url_unresolved	2026-09-17: 以前の候補『ウェブアクセシビリティ取組確認・評価結果（2026年』は事務事業評価ではなかった
01207			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01208			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01209			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01210			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01211			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01212			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01213	https://www.city.tomakomai.hokkaido.jp/shisei/shisei/gyoseihyoka/review/	独自	enabled		
01214			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01215	https://www.city.bibai.hokkaido.jp/soshiki/3/1450.html	独自	enabled		2026-09-17 確認: 『施策評価』と『評価表』／添付8件
01216	https://www.city.ashibetsu.hokkaido.jp/docs/2362614.html	独自	enabled		
01217	https://www.city.ebetsu.hokkaido.jp/site/nanajisoukei/143411.html	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
01218			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01219			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01220			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01221	http://www.city.nayoro.lg.jp/section/sougouseisaku/prkeql00000414i6.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付6件
01222			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01223			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01224	https://www.city.chitose.lg.jp/c70/1002791/1002792/1002799/1003592.html	独自	enabled		
01225			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01226			unresolved	source_url_unresolved	2026-09-17: 以前の候補『砂川市第6期総合計画中間年にかかる市民意識調査｜市政』は事務事業評価ではなかった
01227			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01228			unresolved	source_url_unresolved	2026-09-17: 以前の候補『市政情報 | 市政情報 | 北海道深川市』は事務事業評価ではなかった
01229			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01230	https://www.city.noboribetsu.lg.jp/docs/2014081300018/	独自	enabled		
01231			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01233	https://www.city.date.hokkaido.jp/hotnews/detail/00000431.html	独自	enabled		
01234	https://www.city.kitahiroshima.hokkaido.jp/hotnews/detail/00158824.html	独自	enabled		
01235			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01236	https://www.city.hokuto.hokkaido.jp/docs/1168.html	独自	enabled		2026-09-17 確認: 『事業仕分』と『評価シート』／添付7件
01303			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01304			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01331			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01332	https://www.town.fukushima.hokkaido.jp/%E7%94%BA%E6%94%BF%E6%83%85%E5%A0%B1/jouhou/%E8%A1%8C%E6%94%BF%E8%A9%95%E4%BE%A1%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6/	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付3件
01333	https://www.town.shiriuchi.hokkaido.jp/chosei/johokokai/gyoseihyoka.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『知内町行政評価報告｜北海道知内町』
01334			unresolved	source_url_unresolved	2026-09-17: 以前の候補『木古内町の電源立地地域対策交付金を活用した事業評価報』は事務事業評価ではなかった
01337	https://www.town.nanae.hokkaido.jp/hotnews/group/	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
01343			unresolved	source_url_unresolved	2026-09-17: 以前の候補『令和2年度山村活性化支援交付金事業の事業評価について』は事務事業評価ではなかった
01345	https://www.town.hokkaido-mori.lg.jp/soshiki/kikakushinko/10/2209.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『地域公共交通確保維持改善事業に係る事業評価の公表』
01346	https://www.town.yakumo.lg.jp/soshiki/seisaku/content0155.html	独自	enabled		
01347			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01361			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01362			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01363	https://www.town.assabu.lg.jp/life/4/39/170/	独自	review_required	weak_signal	2026-09-17: 評価の入口『行政評価 - 素敵な過疎のまち 北海道厚沢部町（』
01364			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01367			unresolved	source_url_unresolved	2026-09-17: 以前の候補『電源立地地域対策交付金事業評価報告書の公表について 』は事務事業評価ではなかった
01370			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01371			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01391			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01392	http://www.town.suttu.lg.jp/town/detail.php?id=274	独自	review_required	weak_signal	2026-09-17: 評価の入口『寿都町 | 町政 | 鳥獣被害防止総合対策事業に』
01393			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01394			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01395			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01396			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01397			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01398			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
01399			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
