source_date	entity_type	jis_code	parent_jis_code	pref_code	pref_name	district_name	name	name_kana	full_name	name_romaji
2025-10-01	prefecture	01000		01	北海道		北海道	ほっかいどう	北海道	hokkaido
2025-10-01	municipality	01100	01000	01	北海道	石狩振興局	札幌市	さっぽろし	北海道 札幌市	sapporo-shi
2025-10-01	municipality	01202	01000	01	北海道	渡島総合振興局	函館市	はこだてし	北海道 函館市	hakodate-shi
2025-10-01	municipality	01203	01000	01	北海道	後志総合振興局	小樽市	おたるし	北海道 小樽市	otaru-shi
2025-10-01	municipality	01204	01000	01	北海道	上川総合振興局	旭川市	あさひかわし	北海道 旭川市	asahikawa-shi
2025-10-01	municipality	01205	01000	01	北海道	胆振総合振興局	室蘭市	むろらんし	北海道 室蘭市	muroran-shi
2025-10-01	municipality	01206	01000	01	北海道	釧路総合振興局	釧路市	くしろし	北海道 釧路市	kushiro-shi
2025-10-01	municipality	01207	01000	01	北海道	十勝総合振興局	帯広市	おびひろし	北海道 帯広市	obihiro-shi
2025-10-01	municipality	01208	01000	01	北海道	オホーツク総合振興局	北見市	きたみし	北海道 北見市	kitami-shi
2025-10-01	municipality	01209	01000	01	北海道	空知総合振興局	夕張市	ゆうばりし	北海道 夕張市	yubari-shi
2025-10-01	municipality	01210	01000	01	北海道	空知総合振興局	岩見沢市	いわみざわし	北海道 岩見沢市	iwamizawa-shi
2025-10-01	municipality	01211	01000	01	北海道	オホーツク総合振興局	網走市	あばしりし	北海道 網走市	abashiri-shi
2025-10-01	municipality	01212	01000	01	北海道	留萌振興局	留萌市	るもいし	北海道 留萌市	e-rumoi-shi
2025-10-01	municipality	01213	01000	01	北海道	胆振総合振興局	苫小牧市	とまこまいし	北海道 苫小牧市	tomakomai-shi
2025-10-01	municipality	01214	01000	01	北海道	宗谷総合振興局	稚内市	わっかないし	北海道 稚内市	wakkanai-shi
2025-10-01	municipality	01215	01000	01	北海道	空知総合振興局	美唄市	びばいし	北海道 美唄市	bibai-shi
2025-10-01	municipality	01216	01000	01	北海道	空知総合振興局	芦別市	あしべつし	北海道 芦別市	ashibetsu-shi
