jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail
01000	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A79F3E9AA	d1-law	enabled		
01100	https://www.city.sapporo.jp/ncms/reiki/d1w_reiki/reiki.html	d1-law	enabled		
01202	https://krr376.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square	enabled		
01203	https://www1.g-reiki.net/city.otaru/reiki_menu.html	g-reiki	enabled		
01204	https://www1.city.asahikawa.hokkaido.jp/files/soumu_soumu/d1w_reiki/reiki.html	d1-law	enabled		
01205	https://www1.g-reiki.net/muroran/reiki_menu.html	g-reiki	enabled		
01206	https://www1.g-reiki.net/kushiro/reiki_menu.html	g-reiki	enabled		
01207	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A79F434B1	d1-law	enabled		
01208	https://public2.legalcrud.com/kitami_city/reiki/	legalcrud	enabled		
01209	https://www.city.yubari.lg.jp/contents/illustrative/reiki_int/reiki_menu.html	taikei	enabled		
01210	https://www.city.iwamizawa.hokkaido.jp/section/reiki/index.html	taikei	enabled		
01211	https://www1.g-reiki.net/city.abashiri/reiki_menu.html	g-reiki	enabled		
01212	https://en3-jg.d1-law.com/rumoi/d1w_reiki/reiki.html	d1-law	enabled		
01213	https://kra014.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square	enabled		
01214	https://www.city.wakkanai.hokkaido.jp/data/reiki/reiki.html	reiki.html	enabled		
01215	https://lg.joureikun.jp/bibai_city/reiki/	joureikun	enabled		
01216	http://houmu.h-chosonkai.gr.jp/~reikidb/data/6/43/reiki_menu.html	taikei	enabled		
01217	https://en3-jg.d1-law.com/ebetsu-shi/d1w_reiki/reiki.htm	d1-law	enabled		
01218	https://www.city.akabira.hokkaido.jp/reiki_int/reiki_menu.html	taikei	enabled		
01219	https://mombetsu.jp/reiki/reiki_menu.html	taikei	enabled		
01220	https://en3-jg.d1-law.com/shibetsu/d1w_reiki/reiki.html	d1-law	enabled		
01221	https://en3-jg.d1-law.com/nayoro/d1w_reiki/reiki.html	d1-law	enabled		
01222	https://www.city.mikasa.hokkaido.jp/contents/reiki_int/reiki_menu.html	taikei	enabled		
01223	https://en3-jg.d1-law.com/nemuro/d1w_reiki/reiki.html	d1-law	enabled		
01224	https://en3-jg.d1-law.com/chitose/d1w_reiki/reiki.html	d1-law	enabled		
01225	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A79F4356F	d1-law	enabled		
01226	http://www.city.sunagawa.hokkaido.jp/d1w_reiki/reiki.html	d1-law	enabled		
01227	https://www.city.utashinai.hokkaido.jp/contents/reiki/reiki.html	reiki.html	enabled		
01228	https://www1.g-reiki.net/fukagawa/reiki_menu.html	g-reiki	enabled		
01229	https://en3-jg.d1-law.com/furano/d1w_reiki/reiki.html	d1-law	enabled		
01230	https://www1.g-reiki.net/noboribetsu2/reiki_menu.html	g-reiki	enabled		
01231	https://www1.g-reiki.net/eniwa/reiki_menu.html	g-reiki	enabled		
01233	https://www1.g-reiki.net/date/reiki_menu.html	g-reiki	enabled		
01234	https://www1.g-reiki.net/kitahiroshima/reiki_menu.html	g-reiki	enabled		
01235	https://en3-jg.d1-law.com/ishikari/d1w_reiki/reiki.html	d1-law	enabled		
01236	https://www.city.hokuto.hokkaido.jp/reiki_int/reiki_menu.html	taikei	enabled		
01303	http://houmu.h-chosonkai.gr.jp/~reikidb/data/124/30/reiki.html	h-chosonkai	enabled		
01304	http://houmu.h-chosonkai.gr.jp/~reikidb/data/100/40/reiki_menu.html	taikei	enabled		
01331	http://houmu.h-chosonkai.gr.jp/~reikidb/data/183/83/reiki_menu.html	taikei	enabled		
01332	http://houmu.h-chosonkai.gr.jp/~reikidb/data/171/54/reiki_menu.html	taikei	enabled		
01333	http://houmu.h-chosonkai.gr.jp/~reikidb/data/99/50/reiki_menu.html	taikei	enabled		
01334	http://houmu.h-chosonkai.gr.jp/~reikidb/data/58/51/reiki_menu.html	taikei	enabled		
01337	http://houmu.h-chosonkai.gr.jp/~reikidb/data/142/57/reiki_menu.html	taikei	enabled		
01343	http://houmu.h-chosonkai.gr.jp/~reikidb/data/84/49/reiki_menu.html	taikei	enabled		
01345	https://houmu.h-chosonkai.gr.jp/~reikidb/data/194/68/reiki_menu.html	h-chosonkai	enabled		
01346	https://houmu.h-chosonkai.gr.jp/~reikidb/data/197/56/reiki_menu.html	h-chosonkai	enabled		
01347	http://houmu.h-chosonkai.gr.jp/~reikidb/data/42/49/reiki.html	h-chosonkai	enabled		
01361	http://houmu.h-chosonkai.gr.jp/~reikidb/data/28/34/reiki_menu.html	taikei	enabled		
01362	http://houmu.h-chosonkai.gr.jp/~reikidb/data/54/52/reiki.html	h-chosonkai	enabled		
01363	http://houmu.h-chosonkai.gr.jp/~reikidb/data/10/54/reiki_menu.html	taikei	enabled		
01364	http://houmu.h-chosonkai.gr.jp/~reikidb/data/46/26/reiki.html	h-chosonkai	enabled		
01367	http://houmu.h-chosonkai.gr.jp/~reikidb/data/39/50/reiki.html	h-chosonkai	enabled		
01370	http://houmu.h-chosonkai.gr.jp/~reikidb/data/18/58/reiki_menu.html	taikei	enabled		
01371	http://houmu.h-chosonkai.gr.jp/~reikidb/data/106/57/reiki.html	h-chosonkai	enabled		
01391	https://houmu.h-chosonkai.gr.jp/~reikidb/data/90/43/reiki_menu.html	h-chosonkai	enabled		
01392	http://houmu.h-chosonkai.gr.jp/~reikidb/data/104/51/reiki_menu.html	taikei	enabled		
01393	http://houmu.h-chosonkai.gr.jp/~reikidb/data/73/5/reiki.html	h-chosonkai	enabled		
01394	http://houmu.h-chosonkai.gr.jp/~reikidb/data/203/21/reiki_menu.html	taikei	enabled		
01395	https://en3-jg.d1-law.com/niseko/d1w_reiki/reiki.html	d1-law	enabled		
01396	https://www1.g-reiki.net/vill.makkari/reiki_menu.html	g-reiki	enabled		
01397	https://en3-jg.d1-law.com/rusutsu/d1w_reiki/reiki.htm	d1-law	enabled		
01398	http://houmu.h-chosonkai.gr.jp/~reikidb/data/63/37/reiki_menu.html	taikei	enabled		
01399	https://www1.g-reiki.net/kyougoku/reiki_menu.html	g-reiki	enabled		
01400	http://houmu.h-chosonkai.gr.jp/~reikidb/data/69/67/reiki_menu.html	taikei	enabled		
01401	http://houmu.h-chosonkai.gr.jp/~reikidb/data/65/59/reiki_menu.html	taikei	enabled		
01402	https://www.town.iwanai.hokkaido.jp/d1w_reiki/reiki.html	d1-law	enabled		
01403	http://houmu.h-chosonkai.gr.jp/~reikidb/data/131/42/reiki.html	h-chosonkai	enabled		
01404	http://houmu.h-chosonkai.gr.jp/~reikidb/data/57/23/reiki.html	h-chosonkai	enabled		
01405	http://houmu.h-chosonkai.gr.jp/~reikidb/data/94/46/reiki_menu.html	taikei	enabled		
01406	https://houmu.h-chosonkai.gr.jp/~reikidb/data/173/61/reiki.htm	h-chosonkai	enabled		
