code	address	place	lat	lon
1-1	柳窪三丁目３番	都営柳窪三丁目アパート１号棟西側	35.7424803	139.4923317
1-2	柳窪二丁目１５番	柳窪第１緑地	35.7463058	139.4968107
1-3	柳窪五丁目２番	個人宅そばの樹林	35.747907	139.4916313
1-4	柳窪一丁目５番	やなぎくぼ広場	35.7494296	139.4934723
1-5	柳窪五丁目９番	第十小学校東側	35.7503941	139.4937513
1-6	柳窪五丁目９番	第十小学校体育館わき	35.7499674	139.4924102
1-7	柳窪五丁目６番	北原公園わき	35.7502906	139.4902315
2-1	下里四丁目１番	久留米西住宅４１号棟南側	35.7500368	139.4958064
2-2	柳窪一丁目９番	都営柳窪１丁目アパート１８号棟わき公園	35.7501809	139.4974728
2-3	下里三丁目１１番	旧下里小学校西側	35.7515444	139.4979007
2-4	下里三丁目２１番	下里中学校体育館前フェンス	35.7514659	139.50063
2-5	下里四丁目１番	久留米西住宅児童公園わき	35.7533977	139.4970938
2-6	下里四丁目１番	久留米西住宅１０号棟北側	35.7545514	139.4972548
2-7	下里四丁目１番	バス停「西団地入口」わき（久留米西住宅）	35.7534543	139.4998726
2-8	下里五丁目１２番	個人宅前	35.7570571	139.4987821
3-1	滝山五丁目１６番	ひまわり公園わき	35.7449929	139.5010717
3-2	滝山五丁目５番	西部運動広場	35.7448841	139.5025505
3-3	滝山六丁目３番	滝山住宅9号棟前バス停「滝山団地」わき	35.7480067	139.500032
3-4	滝山六丁目２番	滝山住宅10号棟前バス停「滝山五丁目」わき	35.7467896	139.5025319
3-5	滝山七丁目２４番	白山公園西側	35.7509914	139.5018704
3-6	滝山七丁目２６番	第七小学校南側	35.7491547	139.503722
3-7	滝山七丁目２６番	第七小学校東側	35.7495465	139.5045159
3-8	滝山七丁目２４番	白山公園北側	35.7520363	139.5047672
4-1	滝山六丁目１番	滝山団地9号棟わき	35.7457666	139.5057414
4-2	滝山六丁目１番	滝山団地11号棟わき	35.7448958	139.5064817
4-3	滝山二丁目３番	西中学校西側	35.7470278	139.5080355
4-4	滝山七丁目６番	すいせん公園わき	35.7480813	139.5063461
4-5	滝山一丁目１１番	あやめ公園わき	35.7471707	139.5098219
4-6	前沢四丁目１７番	つばき公園わき	35.7457781	139.5129476
4-7	前沢四丁目７番	東亜グリーンハイツ向い側	35.7424048	139.5134687
4-8	滝山二丁目４番	滝山公園西側わき	35.7463899	139.5095116
5-1	弥生一丁目５番	弥生第一緑地わき	35.7375936	139.5052172
5-2	前沢五丁目２１番	さつき公園わき	35.7406393	139.5098613
5-3	滝山三丁目２番	第九小学校東側校門わき	35.7418614	139.5086458
5-4	滝山三丁目１番	滝山団地第二住宅２号棟わき	35.7440502	139.5079756
5-5	滝山三丁目１番	滝山団地第二住宅１２号棟わき	35.743371	139.5093596
5-6	滝山四丁目３番	わくわく健康プラザ体育館わき	35.742556	139.5049826
5-7	滝山四丁目１番	西部地域センター正面	35.7447055	139.5044033
6-1	野火止三丁目７番	野火止第三広場南側（久留米下里住宅）	35.7601487	139.5055089
6-2	野火止三丁目５番	本村小学校北側	35.760793	139.5080235
6-3	野火止三丁目５番	本村小学校東側校門わき	35.7604187	139.5081147
6-4	野火止三丁目４番	下里本邑遺跡公園わき	35.7604926	139.5092135
6-5	下里一丁目４番	八幡東公園わき	35.7554202	139.5117232
6-6	下里七丁目１番	都大橋わき	35.7565885	139.5059251
6-7	下里一丁目６番	都営八幡町第一アパート児童公園前	35.7532798	139.5103347
7-1	小山五丁目３番	個人宅南側畑（小山小東側）	35.7651959	139.5203322
7-2	小山三丁目１番	小山第３緑地	35.7653785	139.5269791
7-3	小山五丁目５番	小山小学校西側	35.764689	139.5179938
7-4	小山五丁目５番	小山小学校北側	35.7653767	139.5185625
7-5	小山五丁目１１番	小山第四緑地	35.7674097	139.5205066
7-6	小山三丁目５番	小山第５緑地	35.7659304	139.5239212
7-7	小山三丁目２番	市立小山テニスコート駐車場フェンス	35.7647849	139.5255363
8-1	野火止二丁目１番	野火止地区センターわき	35.7636885	139.5133074
8-2	幸町五丁目９番	久留米中西側	35.761701	139.5165259
8-3	八幡町一丁目９番	八幡第四緑地南側	35.7581186	139.5150949
8-4	幸町五丁目７番	さいわい第一広場わき	35.76092	139.5176711
8-5	幸町二丁目１０番	さいわい第三広場わき	35.7615181	139.520065
8-6	幸町五丁目８番	東京都立東久留米総合高等学校正門わき	35.7622229	139.5201764
8-7	小山二丁目１番	黒目川新大橋西側(一部都市計画道路)	35.7622526	139.5273275
9-1	中央町五丁目３番	中央第七緑地（清掃施設内）	35.7494762	139.5197613
9-2	中央町五丁目７番	中央中学校北側	35.7505976	139.5166334
9-3	中央町三丁目８番	神明山公園わき	35.7526	139.521587
9-4	中央町六丁目８番	第一小学校西側	35.7544165	139.5165926
9-5	中央町六丁目８番	第一小学校東側	35.7540159	139.5157343
9-6	前沢一丁目４番	個人農園野菜直売所わき	35.7461069	139.5158019
9-7	八幡町二丁目８番	八幡神社前	35.7530951	139.5118955
9-8	八幡町三丁目13番	八幡第二緑地わき	35.751045	139.5085744
10-1	幸町三丁目２番	幸第２緑地(清掃施設内)	35.7595497	139.5241763
10-2	幸町三丁目４番	東京消防庁東久留米消防署	35.7578261	139.5215359
10-3	中央町一丁目１６番	第三小学校西校門わき	35.7570081	139.5239006
10-4	中央町一丁目１６番	第三小学校東校門わき	35.7573042	139.5250057
10-5	中央町二丁目６番	まろにえホール南側	35.7552017	139.5225122
10-6	中央町一丁目５番	落合川水生公園わき	35.7540585	139.5264215
10-7	中央町二丁目３番	中央町二丁目アパート６号棟西側	35.7533271	139.5207863
10-8	中央町二丁目３番	中央町二丁目アパート５号棟北側公園入口わき	35.7543633	139.5231359
11-1	本町四丁目１３番	多聞寺前	35.754498	139.5296227
11-2	本町三丁目３番	市庁舎屋外ひろば北側植え込み	35.7584219	139.5298213
11-3	本町三丁目３番	市庁舎南側植え込み	35.7577689	139.5302934
11-4	本町二丁目５番	ほんちょう広場わき	35.7606551	139.5280208
11-5	本町三丁目１２番	西口北公園わき	35.7598959	139.5310975
11-6	本町一丁目１２番	西口中央公園西側	35.7585357	139.5343619
11-7	本町四丁目１０番	道路脇緑地	35.756166	139.5329795
11-8	本町一丁目１２番	西口中央公園東側	35.7587099	139.5350163
12-1	南町一丁目１２番	南町第５緑地	35.7408334	139.5277921
12-2	南町一丁目４番	南町みどり会住宅入口	35.7375168	139.5261598
12-3	南町一丁目７番	東久留米南町一丁目第２アパート（２号棟）前	35.7424368	139.5264166
12-4	南町三丁目２番	南町小学校北東側フェンス（道路沿い）	35.7414145	139.5249076
12-5	南町一丁目８番	南町運動広場フェンス	35.7407478	139.5255363
12-6	南町三丁目９番	南町公園	35.7402877	139.5202418
12-7	前沢二丁目６番	都営前沢二丁目アパート５号棟西側	35.7431835	139.5164282
12-8	前沢三丁目１１番	前沢第一緑地	35.7399702	139.515833
13-1	ひばりが丘団地６	ひばりが丘団地６−３号棟角	35.7476441	139.5339539
13-2	ひばりが丘団地６	南部地域センター向い側	35.7467995	139.5343079
13-3	ひばりが丘団地６	バス停「ひばりが丘団地北口」わき	35.7478966	139.5354666
13-4	南沢四丁目６番	第五小学校南側	35.7464478	139.5290096
13-5	南沢五丁目１８番	南沢第１３緑地	35.7437209	139.5259795
13-6	中央町三丁目２３番	中央第一緑地	35.7486629	139.5214601
13-7	南沢三丁目１６番	向山緑地公園南側	35.750596	139.5280603
13-8	南沢三丁目４番	南沢水辺公園わき	35.7534211	139.5277939
14-1	学園町二丁目１番	南中学校南側	35.7491185	139.534801
14-2	学園町二丁目１番	南中学校体育館わき	35.7496845	139.5351926
14-3	南沢二丁目１４番	篠宮氏宅畑	35.7507361	139.531294
14-4	学園町一丁目８番	自由学園クラブハウスしののめ寮前	35.7516048	139.5370631
14-5	南沢二丁目１番	たての緑地（南沢二丁目１番付近）	35.7518995	139.5353201
14-6	学園町一丁目１４番	学園樹林地わき	35.7514418	139.54075
14-7	南沢一丁目７番	竹林公園正面入り口	35.7544421	139.5345764
15-1	浅間町一丁目５番	浅間町第三緑地フェンス	35.7572441	139.5389593
15-2	浅間町一丁目１０番	個人宅前畑	35.7567497	139.5404942
15-3	浅間町二丁目２４番	浅間町地区センター	35.7576284	139.5418978
15-4	浅間町二丁目１７番	浅間第１緑地	35.7581515	139.543287
15-5	浅間町二丁目４番	落合橋横畑	35.7604646	139.544034
15-6	浅間町三丁目２７番	松ヶ丘ハイツ西側壁	35.754041	139.5420318
15-7	浅間町三丁目１２番	せんげん第二広場わき	35.7560071	139.5438073
16-1	新川町一丁目１４番	第二小学校西側	35.7595899	139.5373707
16-2	新川町一丁目１４番	第二小学校東側	35.7596073	139.5389907
16-3	新川町一丁目１０番	東口中央公園北側トイレ前	35.7606794	139.5358457
16-4	新川町二丁目４番	しんかわ第二広場南側	35.7622606	139.5386587
16-5	新川町二丁目４番	しんかわ第二広場北側	35.7625043	139.5386051
16-6	新川町二丁目９番	個人宅向い側畑	35.761608	139.5420738
16-7	新川町一丁目３番	日生サイクルプラザ東久留米第１フェンス	35.7596454	139.5351409
17-1	氷川台一丁目６番	東京学芸大学附属特別支援学校北側	35.7649859	139.5308759
17-2	小山一丁目１０番	小山台遺跡公園わき（道路上）	35.764949	139.5289094
17-3	小山一丁目３番	しもだ広場入口	35.7633131	139.5295182
17-4	氷川台一丁目６番	東京学芸大学附属特別支援学校西側	35.7640631	139.5305325
17-5	東本町８番	成美教育文化会館西側植込み	35.7634823	139.531126
17-6	氷川台一丁目４番	東京学芸大学附属特別支援学校グランド東側	35.7646495	139.5327565
17-7	氷川台一丁目１５番	都営東久留米氷川台一丁目アパート１号棟北東側	35.7676123	139.5337853
17-8	氷川台一丁目１７番	都営東久留米氷川台一丁目アパート児童公園西側	35.7673248	139.532524
18-1	氷川台二丁目４番	氷川台二丁目アパート公園向い側植込み	35.7680555	139.5345218
18-2	金山町一丁目６番	厳島神社わき	35.766001	139.5367003
18-3	氷川台二丁目１番	個人宅東側畑	35.7683199	139.5359012
18-4	金山町一丁目１７番	第六小学校南側	35.7681708	139.5372902
18-5	金山町一丁目１７番	第六小学校東側	35.7691545	139.537934
18-6	金山町一丁目１９番	東部運動広場東側	35.7687759	139.5388887
18-7	金山町一丁目１９番	東部運動広場西側	35.7685322	139.5384059
19-1	大門町二丁目７番	黒目川大橋わき	35.7650239	139.535707
19-2	大門町二丁目５番	大門第一緑地南側	35.7647453	139.5376202
19-3	金山町二丁目２番	かなやま第二広場わき	35.765162	139.5419603
19-4	大門町二丁目１２番	都営大門町二丁目アパート４号棟バス停わき	35.7645424	139.541338
19-5	大門町二丁目１３番	大門中学校体育館北側フェンス	35.7631949	139.5442848
19-6	神宝町一丁目６番	神宝小学校北側フェンス	35.7671451	139.544292
