code	address	place	lat	lon
1	京都府綴喜郡井手町大字井手小字宮ノ本3	岡田一隆宅北側プロック塀	34.7950962	135.8096835
2	京都府綴喜郡井手町大字井手小字野神38	井手小学校東側ブロック塀	34.7969775	135.8086575
3	京都府綴喜郡井手町大字井手小字宮ノ本86	暁京菜所有駐車場フェンス	34.7972289	135.8095774
4	京都府綴喜郡井手町大字井手小字里地内	府道上玉川橋北側ガードレール	34.7989201	135.808371
5	京都府綴喜郡井手町大字井手小字山田1	田中靖久宅西側プロック塀	34.8015353	135.8079775
6	京都府綴喜郡井手町大字井手小字西向月6の12	木田丈子宅西側フェンス	34.7987604	135.809996
7	京都府綴喜郡井手町大字井手小字西高月地内	高月公民館東側フェンス	34.7984838	135.8106213
8	京都府綴喜郡井手町大字井手小字栢ノ木88の1	池田消隆宅北側プロック塀	34.8024456	135.8169118
9	京都府綴喜郡井手町大字井手小字中垣内12の1	寺島政義宅南側プロック塀	34.8023716	135.8184366
10	京都府綴喜郡井手町大字井手小字栢ノ木地内	府道北側フェンス	34.80086	135.8138686
11	京都府綴喜郡井手町大字井手小字西山79の32の1	中坊富美子宅東側ブロック塀	34.8038505	135.815282
12	京都府綴喜郡井手町大字井手小字西山地内	上井手児童公園 西側フェンス	34.8034493	135.8140473
13	京都府綴喜郡井手町大字田村新田小字有王地内	井手小学校有王分校前町道 ガードレール	34.8068418	135.8518765
14	京都府綴喜郡井手町大字多賀小字西北河原53	町道北側ガードレール	34.8209124	135.800792
15	京都府綴喜郡井手町大字多賀小字茶臼塚12	ワタキューセイモア 西側フェンス	34.8211461	135.8069796
16	京都府綴喜郡井手町大字多賀小字内垣内地内	JR山城多賀駅前 多賀小学校 フェンス、ブロック塀	34.8175161	135.8064731
17	京都府綴喜郡井手町大字多賀小字西南組6	奥田良子宅北側プロック塀	34.8189889	135.8078654
18	京都府綴喜郡井手町大字多賀小字新造29	脇本消嗣宅南側プロック塀	34.8205256	135.8096543
19	京都府綴喜郡井手町大字多賀小字甚五郎谷2	岩田剛宅南側プロック塀	34.8193346	135.8115203
20	京都府綴喜郡井手町大字多賀小字前川40	薮田隆之宅東側フェンス	34.8178239	135.8093968
21	京都府綴喜郡井手町大字多賀小字西南組3	下村佳弘宅西側プロック塀	34.8186482	135.8075497
22	京都府綴喜郡井手町大字多賀小字判ノ地1	森田正弘宅北側ブロック塀	34.8171276	135.8099237
23	京都府綴喜郡井手町大字多賀小字下川25	官島義徳宅 西側プロック塀	34.8153565	135.808644
24	京都府綴喜郡井手町大字多賀小字下川44	小崎綾子宅北側プロック塀	34.8164033	135.8080602
25	京都府綴喜郡井手町大字多賀小字宮ノ後地内	（株）ファインズアート駐車場前 ガードレール	34.8157041	135.8101878
26	京都府綴喜郡井手町大字多賀小字高橋地内	蛇谷川 南側ガードレール	34.8145145	135.8082136
27	京都府綴喜郡井手町大字多賀小字八反田27の3	八木幸治宅東側プロック塀	34.8136115	135.8079371
28	京都府綴喜郡井手町大字多賀小字浜地内	JR石山踏切北側フェンス	34.8111136	135.8075891
29	京都府綴喜郡井手町大字井手小字柏原地内	井手交番南側フェンス	34.7998463	135.806856
30	京都府綴喜郡井手町大字井手小字北玉水地内	八百忠砕：店駐車場 南側ブロック塀	34.8002866	135.8048114
31	京都府綴喜郡井手町大字井手小字柏原69	林商店南側プロック塀	34.7991647	135.8057346
32	京都府綴喜郡井手町大字井手小字橋ノ本20	泉ヶ丘中学校東側プロック塀	34.7977289	135.8051612
33	京都府綴喜郡井手町大字井手小字南玉水地内	旧役場前町道北側フェンス	34.7987549	135.8033777
34	京都府綴喜郡井手町大字井手小字段ノ下5の1	（小川組倉庫・野神3) 小川晴美所有地北側プロック塀	34.7961598	135.8047878
35	京都府綴喜郡井手町大字井手小字北猪ノ阪1 9	旧玉川浴場前東側フェンス	34.795125	135.8079949
36	京都府綴喜郡井手町大字井手小字段ノ下42の4	山川義親宅東側プロック塀	34.793547	135.8069458
37	京都府綴喜郡井手町大字井手小字扇畑65	西島豊広宅北側ブロック塀	34.79161819999999	135.8056782
38	京都府綴喜郡井手町大字井手小字段ノ下54の1	西島正道宅南側プロック塀	34.7926834	135.8073266
39	京都府綴喜郡井手町大字井手小字浜田1 4の3	山吹会館前 フェンス	34.7913963	135.8075232
40	京都府綴喜郡井手町大字井手小字下赤田24の1	木村英美子宅西側プロック塀	34.7919505	135.8114157
