code	address	place	lat	lon
1-1	木津川市木津神田26番地1		34.7347586	135.812334
1-2	木津川市木津町内垣外87番地1		34.7365016	135.8153989
1-3	木津川市木津町内垣外101番地		34.7370218	135.8162679
1-4	木津川市木津南垣外83番地2		34.736423	135.8191302
1-5	木津川市木津町瓦谷93番地		34.7328128	135.8173919
1-6	木津川市木津町内垣外6番地1		34.7366386	135.8129725
1-7	木津川市木津宮ノ内101番地		34.731084	135.8185821
2-1	木津川市木津殿城153番地9地先		34.7395514	135.8204837
2-2	木津川市木津南垣外110番地先		34.7364671	135.8200629
2-3	木津川市木津南垣外15番地3		34.7374184	135.8202159
2-4	木津川市木津清水112番地1		34.7349416	135.8199722
2-5	木津川市木津駅前一丁目目25番地		34.735928	135.8239687
2-6	木津川市木津八色18番地7		34.7321738	135.8220276
2-7	木津川市木津雲村141番地9		34.7386357	135.8240735
3-1	木津川市鹿背山塩田地		34.7460292	135.8358814
3-2	木津川市鹿背山西大平97番地		34.744373	135.8369508
3-3	木津川市鹿背山鹿曲田74番地		34.744924	135.8400469
3-4	木津川市鹿背山細川71番地		34.7457663	135.8369145
3-5	木津川市城山台3丁目3番地		34.7377469	135.8412796
3-6	木津川市鹿背山西大平59番地先			
4-1	木津川市市坂久保川9番地1		34.7263477	135.8224357
4-2	木津川市市坂加茂田54番地1地先			
4-3	木津川市市坂北畑39番地先		34.7249127	135.8211287
4-4	木津川市市坂久保川35、37番地先		34.7241889	135.8235461
4-5	木津川市市坂西山18番地		34.722591	135.8221267
4-6	木津川市市坂幣羅坂61番地1			
5-1	木津川市梅谷身増		34.7221454	135.8391502
5-2	木津川市梅谷荊谷		34.7215485	135.8408419
5-3	木津川市梅谷中ノ平地先		34.7156424	135.8480969
5-4	木津川市梅谷中ノ平		34.7171063	135.8456508
5-5	木津川市梅谷長城谷1番地先		34.7220317	135.8336515
6-1	木津川市相楽大仙堂25番地1地先		34.728518	135.7982719
6-2	木津川市相楽城ノ堀21番地		34.7296956	135.7992042
6-3	木津川市相楽袋樋6番地		34.734205	135.7966531
6-4	木津川市相楽荒神塚15番地2地		34.7361543	135.7948172
6-5	木津川市相楽渭水i番地		34.7358475	135.8018703
6-6	木津川市相楽城西93番地		34.7368623	135.7962144
6-7	木津川市相楽西戸崎12番地先		34.7377271	135.8017454
6-8	木津川市木津南後背173番地3地		34.7367441	135.8080571
6-9	木津川市相楽城西56番地		34.7370097	135.7946808
7-1	木津川市吐師宮ノ前18番地先		34.7452983	135.7944382
7-2	木津川市吐師宮ノ前6番地1地先		34.7439755	135.795481
7-3	木津川市吐師高樋14番地7地先		34.7459258	135.7958343
7-4	木津川市吐師久保19番地1先		34.7419761	135.79562
7-5	木津川市吐師前ノ橋34番地		34.7419287	135.7977724
7-6	木津川市吐師川ノ尻2番地		34.7421251	135.8008211
8-1	木津川市相楽川ノ尻27番地		34.7376471	135.8037989
8-2	木津川市相楽川ノ尻27番地161		34.7382025	135.804861
8-3	木津川市相楽下川原23番地		34.7393673	135.805668
8-4	木津川市木津南後背31番地		34.738336	135.8083699
8-5	木津川市木津南後背1番地105地先		34.7374737	135.8081927
8-6	木津川市木津神田4番地2地先		34.7372474	135.8119153
9-1	木津川市木津宮ノ裏285番地先		34.7408468	135.8276323
9-2	木津川市木津宮ノ裏36番地161		34.7430636	135.8301642
9-3	木津川市木津宮ノ堀149番地			
9-4	木津川市木津白口地先		34.7413444	135.8321966
9-5	木津川市木津池田25番地18		34.7366745	135.8258081
9-6	木津川市木津八色		34.7321077	135.8258532
10-1	木津川市兜台4丁目4番地1			
10-2	木津川市兜台4丁目2番地			
10-3	木津川市兜台4丁目9番地			
10-4	木津川市兜台3丁目10番地先			
10-5	木津川市兜台2丁目1番地			
11-1	木津川市兜台1丁目2番地先		34.7263771	135.7848027
11-2	木津川市兜台1丁目2番地先		34.7247722	135.7884076
11-3	木津川市兜台6丁目5番地		34.7289799	135.7878081
11-4	木津川市兜台6丁目1番地先		34.729386	135.7848304
11-5	木津川市相楽台1丁目5番地4		34.7260278	135.7911501
11-6	木津川市相楽台2丁目11番地		34.7290759	135.7913003
11-7	木津川市兜台6丁目2番地		34.7312372	135.7904903
12-1	木津川市相楽台4丁目6番地		34.7314428	135.7932089
12-2	木津川市相楽台5丁目17番地1		34.7273256	135.7959509
12-3	木津川市相楽台9丁目4番地		34.7253159	135.7924539
12-4	木津川市相楽北新田26番地		34.7250402	135.8028821
12-5	木津川市相楽台8丁目2番地		34.7208996	135.7964345
12-6	木津川市相楽台8丁目1番地先		34.7241881	135.7955711
12-7	木津川市相楽台9丁目4番地		34.7267444	135.7933337
12-8	木津川市相楽台5丁目14番地1		34.728586	135.7964021
13-1	木津川市木津川台1丁目23番地			
13-2	木津川市木津川台2丁目4番地		34.7444355	135.7891961
13-3	木津川市木津川台2丁目4番地		34.7434129	135.7886596
13-4	木津川市木津川台3丁目6番地		34.7451094	135.7890956
13-5	木津川市木津川台3丁目19番地1			
13-6	木津川市木津川台5丁目4番地		34.7426678	135.7850724
13-7	木津川市木津川台8丁目4番地1地先		34.7410389	135.7817549
13-8	木津川市木津川台6丁目6番地			
13-9	木津川市木津川台5丁目19番地2			
13-10	木津川市木津川台8丁目24番地1		34.7428652	135.7810398
14-1	木津川市梅美台2丁目18番地先		34.7201206	135.8364299
14-2	木津川市梅美台4丁目26番地		34.7169819	135.8397532
14-3	木津川市梅美台4丁目26番地		34.7151828	135.8407617
14-4	木津川市梅美台8丁目1番5		34.7148645	135.8344231
14-5	木津川市梅美台5丁目3番地		34.7129785	135.8443438
14-6	木津川市梅美台6丁目3番地1地先		34.7111212	135.8474201
14-7	木津川市梅美台3丁目18番地		34.719465	135.8385383
15-1	木津川市州見台6丁目5番地4地先		34.7157771	135.8308373
15-2	木津川市州見台4丁目12番地			
15-3	木津川市州見台3丁目1番地		34.7156339	135.8260069
15-4	木津川市州見台8丁目11番地			
15-5	木津川市州見台1丁目14番地		34.7176155	135.8205623
15-6	木津川市州見台1丁目32番地		34.7179506	135.823266
15-7	木津川市州見台2丁目14番地		34.723666	135.8206114
15-8	木津川市州見台6丁目117番地先		34.7128442	135.8201168
16-1	木津川市加茂町里南古田156番地先		34.7520307	135.8656645
16-2	木津川市加茂町駅西1丁目		34.7521427	135.8688283
16-3	木津川市加茂町駅東1丁目2番地1		34.7550942	135.8722718
16-4	木津川市加茂町里中森101番地		34.7564231	135.8711636
16-5	木津川市加茂町里北古田1番地3		34.7544129	135.8656883
16-6	木津川市加茂町法花寺野植田6番地1先		34.7585741	135.8502896
16-7	木津川市加茂町大野山際51,52番地		34.7503078	135.8565863
17-1	木津川市加茂町里尾ノ上38番地		34.7499566	135.8717828
17-2	木津川市加茂町駅東1丁目		34.7503021	135.8692575
17-3	木津川市加茂町里東上田1番地		34.748119	135.8669489
17-4	木津川市加茂町里西大間田18番地4先		34.745343	135.8651145
17-5	木津川市加茂町兎並東前田1番地7		34.7515044	135.8695854
17-6	木津川市加茂町観音寺片岸20番地1		34.7451369	135.8566828
17-7	木津川市加茂町高田大木屋91番地		34.7301304	135.8595508
17-8	木津川市加茂町高田下ノ平3番地		34.7359881	135.8638208
16-8	木津川市加茂町兎並小防院1番地1		34.7542395	135.8755772
18-1	木津川市加茂町北下大田1番地1		34.757561	135.8750035
18-2	木津川市加茂町北上大田1番地先		34.7592007	135.8748337
18-3	木津川市加茂町北広66番地		34.7611081	135.8796927
18-4	木津川市加茂町北小谷40番地先		34.7617215	135.8833005
18-5	木津川市加茂町大野丑谷41番地1		34.7599903	135.8839617
18-6	木津川市加茂町北小松本7番地1		34.753104	135.8961143
19-1	木津川市加茂町岡崎出垣内			
19-2	木津川市加茂町岡崎上八反田		34.7652011	135.8677623
19-3	木津川市加茂町例幣溝垣内74番地			
19-4	木津川市加茂町西城垣外41番地		34.7656351	135.8536184
19-5	木津川市加茂町例幣小林37番地先			
19-6	木津川市加茂町例幣森ノ下		34.7722309	135.8681429
19-7	木津川市加茂町銭司西畑			
19-8	木津川市加茂町井平尾平田10番地		34.7687324	135.8721957
19-9	木津川市加茂町奥畑風呂ノ鼻11		34.7810124	135.8726513
20-1	木津川市加茂町辻下垣外3番地先		34.7331238	135.8829053
20-2	木津川市加茂町尻枝縄手3番地先		34.7348104	135.883035
20-3	木津川市加茂町南下手長坂		34.7398869	135.8842635
20-4	木津川市加茂町辻上垣外2番地1		34.7309982	135.8863485
20-5	木津川市加茂町辻大久保		34.7285217	135.8885216
20-6	木津川市加茂町岩船上下大		34.723977	135.8861458
20-7	木津川市加茂町東小上高庭		34.7184381	135.8760184
20-8	木津川市加茂町西小阪口33番地1		34.7243334	135.8666284
21-1	木津川市南加茂台1丁目17番地		34.7434147	135.873825
21-2	木津川市南加茂台3丁目2番地		34.73952	135.8723778
21-3	木津川市南加茂台6丁目18番地		34.7384533	135.867748
21-4	木津川市南加茂台4丁目13番地		34.7401665	135.8689176
21-5	木津川市南加茂台S丁目1番地		34.740017	135.8720009
21-6	木津川市南加茂台S丁目6番地		34.7393702	135.871192
21-7	木津川市南加茂台6丁目3番地		34.739683	135.8671641
22-1	木津川市南加茂台10丁目9番地先		34.7367339	135.8750235
22-2	木津川市南加茂台9丁目16番地先		34.7378445	135.8653554
22-3	木津川市南加茂台11丁目4番地		34.7370916	135.8722908
22-4	木津川市南加茂台12丁目12番地		34.7360604	135.8699441
22-5	木津川市南加茂台12丁目12番地		34.735646	135.8692468
22-6	木津川市南加茂台12丁目11番地		34.7357166	135.8718002
23-1	木津川市南加茂台13丁目5番地先		34.7337043	135.8718955
23-2	木津川市南加茂台14丁目1番地先		34.7346139	135.8696974
23-3	木津川市南加茂台13丁目11番地先		34.7338321	135.8706348
23-4	木津川市南加茂台14丁目7番地先		34.7318013	135.8694935
24-1	木津川市山城町上狛東下地先		34.7445929	135.8199508
24-2	木津川市山城町上狛北的場地先		34.750209	135.8164934
24-3	木津川市山城町上狛南荒堀31番地先		34.744257	135.816533
24-4	木津川市山城町上狛東作り道38番地		34.7461838	135.8200021
24-5	木津川市山城町上狛北的場15番地		34.7492574	135.8179842
24-6	木津川市山城町上狛前畑10番地		34.7495225	135.8160495
25-1	木津川市山城町上狛北的場3番地1		34.750168	135.8169881
25-2	木津川市山城町上狛巽町地先		34.7497631	135.8192112
25-3	木津川市山城町上狛北野田芝地先		34.7508542	135.820898
25-4	木津川市山城町上狛北野田芝地先		34.7500564	135.8216758
25-5	木津川市山城町上狛宝本3番地2		34.7524746	135.8142045
25-6	木津川市山城町上狛学校1番地		34.7530958	135.8179971
25-7	木津川市山城町上狛西林地先		34.7559004	135.8180948
26-1	木津川市山城町椿井柳田33番地		34.7571751	135.8169613
26-2	木津川市山城町椿井柳田15番地1		34.7582938	135.816986
26-3	木津川市山城町椿井柳田地先		34.7582087	135.8154517
26-4	木津川市山城町椿井舟戸33番地2地先		34.7591919	135.815634
26-5	木津川市山城町椿井三階地先		34.761443	135.8157299
27-1	木津川市山城町椿井北代103番地		34.7633084	135.8134879
27-2	木津川市山城町北河原古屋敷地先		34.7673177	135.8150028
27-3	木津川市山城町北河原古屋敷104番地1		34.7672554	135.8136337
27-4	木津川市山城町北河原内畑85番地		34.7677056	135.8114748
27-5	木津川市山城町平尾東方儀2番地1		34.7687221	135.8133067
28-1	木津川市山城町神童子北原地先		34.7675694	135.8233488
28-2	木津川市山城町神童子芳野谷地先		34.7663616	135.8280062
29-1	木津川市山城町平尾東方儀73番地		34.7694366	135.8117264
29-2	木津川市山城町平尾西口地先		34.7707034	135.8142858
29-3	木津川市山城町平尾開キ地先		34.7701891	135.8075557
29-4	木津川市山城町平尾流堤地先		34.7727192	135.8095689
29-5	木津川市山城町平尾池顔地先		34.7728961	135.8144285
29-6	木津川市山城町平尾東黒部地先		34.7710936	135.8159959
29-7	木津川市山城町平尾越中谷地先		34.772084	135.8186318
30-1	木津川市山城町平尾三所塚地先		34.7728525	135.8161062
30-2	木津川市山城町平尾南払戸地先		34.7752505	135.8158856
30-3	木津川市山城町平尾里屋敷地先		34.7750135	135.8176786
30-4	木津川市山城町平尾東古川地先		34.7759681	135.8162175
30-5	木津川市山城町平尾前田24番地		34.7755771	135.8128151
30-6	木津川市山城町平尾綾杉河原地先		34.7784796	135.8120697
30-7	木津川市山城町平尾小島65、66番地		34.7768256	135.8120482
31-1	木津川市山城町綺田綾杉地先		34.781432	135.8100605
31-2	木津川市山城町綺田南河原地先		34.7800412	135.8127171
31-3	木津川市山城町綺田南河原地先		34.7784902	135.816043
31-4	木津川市山城町綺田正天地先		34.7817236	135.8152931
31-5	木津川市山城町綺田局塚94番地		34.781775	135.8121848
31-6	木津川市山城町綺田戸田家地先		34.7858398	135.8110416
31-7	木津川市山城町綺田北村地先		34.7878069	135.8152925
31-8	木津川市山城町綺田西垣外地先		34.788347	135.8111369
31-9	木津川市山城町綺田渋川42番地1		34.7905558	135.8135368
31-10	木津川市山城町綺田藪浦地先		34.7905576	135.8068731
32-1	木津川市城山台7丁目11番地		34.7323918	135.8346068
32-2	木津川市城山台1丁目1番地63地先			
32-3	木津川市城山台8丁目3番地43		34.7339667	135.8312284
32-4	木津川市城山台10丁目19番地		34.7282684	135.8334309
32-5	木津川市城山台13丁目11番地		34.7257088	135.8264907
32-6	木津川市城山台11丁目16番地		34.7283711	135.8367549
32-7	木津川市城山台5丁目1番地		34.7311638	135.8413031
32-8	木津川市城山台6丁目34番地		34.7313659	135.8376412
32-9	木津川市城山台6丁目1番地1		34.7325729	135.8385256
32-10	木津川市城山台1丁目3番地		34.7374586	135.833034
32-11	木津川市城山台8丁目地		34.7351703	135.8318453
