code	address	place	lat	lon
1-1	京都市伏見区深草正覚町12番地の3	鳥羽街道団地(南側)	34.9724673	135.7718086
1-2	京都市伏見区深草相深町8-5	高松橋ひろば	34.9730183	135.7695256
1-3	京都市伏見区深草正覚町12番地の3	鳥羽街道団地(北側)	34.9738366	135.7719802
1-4	京都市伏見区深草開土町12番地の1	稲荷小学校(北東側)		
1-5	京都市伏見区深草藪之内町30番地の4	伏見稲荷大社所有地	34.9659625	135.773249
1-6	京都市伏見区深草稲荷御前町110番地	JR稲荷駅(東側)		
1-7	京都市伏見区深草大門町	京都市深草墓園	34.9648313	135.7737476
2-1	京都市伏見区深草下高松町35番地の10	相深公園	34.9726285	135.7683817
2-2	京都市伏見区深草鈴塚町6番地の1	鈴塚市営住宅2棟(東側)	34.9694704	135.7675823
2-3	京都市伏見区深草下川原町40番地	旭建鉄株式会社	34.96651	135.7625921
2-4	京都市伏見区深草下川原町20番地	伏見稲荷大社第四駐車場(南側)	34.9685649	135.7640157
2-5	京都市伏見区深草平田町9番地の1	伏見稲荷大社第一駐車場		
2-6	京都市伏見区深草下川原町1番地の1	コトーハイツ伏見稲荷公園(東側)		
2-7	京都市伏見区深草勧進橋町51番地の1	増井徳太郎方		
3-1	京都市伏見区深草西浦町二丁目2番地の1	深草西浦住宅(東側)	34.9625822	135.7653034
3-2	京都市伏見区深草ケナサ町25番地の5	砂川小学校(北側)		
3-3	京都市伏見区深草ケナサ町25番地の5	砂川小学校(西側)	34.9639916	135.7685157
3-4	京都市伏見区深草西浦町二丁目2番地の1	深草西浦住宅(北側)		
3-5	京都市伏見区深草西浦町一丁目17番地	深草砂川西公園	34.9614002	135.7630485
3-6	京都市伏見区深草西浦町四丁目44番地	深草砂川東公園	34.9618453	135.7672153
4-1	京都市伏見区深草田谷町3番地	ヌヴェール愛徳修道会	34.9594116	135.7733817
4-2	京都市伏見区深草僧坊町36番地	辻井章雄方		
4-3	京都市伏見区深草西出町64番地	深草幼稚園	34.960165	135.7727541
4-4	京都市伏見区深草瓦町66番地の4	瓦町公園(北側)	34.9565071	135.7770915
4-5	京都市伏見区深草坊町4番地	瑞光寺	34.9615958	135.7750592
5-1	京都市伏見区深草極楽町764番地	京阪藤森駅(西側)	34.9564821	135.7703532
5-2	京都市伏見区深草東伊達町	東伊達町東部ちびっこひろば	34.9541849	135.7783559
5-3	京都市伏見区深草西伊達町1番地の4	深草中学校	34.9563108	135.7756323
5-4	京都市伏見区深草向畑町92番地の1	ルネ藤の森(北側)		
5-5	京都市伏見区深草西伊達町82番地の3	深草小学校	34.9561141	135.7713152
5-6	京都市伏見区深草西伊達町	深草第三市営住宅駐車場	34.954543	135.7742333
5-7	京都市伏見区深草西伊達町1番地	深草第三市営住宅4号棟(東側)	34.9549186	135.7753845
5-8	京都市伏見区深草鞍ケ谷13番地の32	鞍ケ谷公園	34.9557892	135.783666
6-1	京都市伏見区深草西浦町五丁目1番地	NTT西日本京都支店深草別館(西側)	34.9593239	135.7669943
6-2	京都市伏見区深草西浦町六丁目65番地の1	深草市街地住宅	34.957823	135.7656284
6-3	京都市伏見区深草池ノ内町55番地	藤森中学校(西側)	34.9559163	135.764231
6-4	京都市伏見区深草池ノ内町2番地	深草児童館	34.9543315	135.7624012
6-5	京都市伏見区深草池ノ内町55番地	藤森中学校(南側)		
6-6	京都市伏見区深草五反田町111番地	西浦南公園		
6-7	京都市伏見区深草池ノ内町3番地の2	七瀬川公園	34.9530332	135.7640923
