code	address	place	lat	lon
1-1	京都市上京区御前通今出川上る鳥居前町671番地	翔鷹小学校(東側)	35.0317174	135.7387479
1-2	京都市上京区今小路通御前通西入馬喰町	北野天満宮(東側)	35.0320601	135.7356521
1-3	京都市上京区今小路通御前通西入馬喰町	北野天満宮(正面)	35.028054	135.7354804
1-4	京都市上京区七本松通五辻上る東柳町551番地	翔鷺公園	35.0309929	135.738631
1-5	京都市上京区御前通今小路下る馬喰町692番地1	上京警察署	35.02794	135.7360506
1-6	京都市上京区今出川通千本西入南上善寺町143番地	上善寺	35.0297026	135.7413713
1-7	京都市上京区今出川通七本松西入毘沙門町480番地の2	本光寺ガレージ	35.0290653	135.7387272
2-1	京都市上京区御前通一条下る東竪町132番地の1	仁和小学校(東側)	35.0248656	135.7377416
2-2	京都市上京区紙屋川通一条下る西町184番地	西町公園(西側)	35.0246275	135.7329196
2-3	京都市上京区下立売通相合図子西入西東町385番地	西蓮寺	35.0202523	135.7374522
2-4	京都市上京区仁和寺街道天神通下ル北町572番地1	北町公園	35.0223761	135.734547
2-5	京都市上京区紙屋川通一条下る西町184番地	西町公園(北側)	35.0248339	135.733279
2-6	京都市上京区出水通千本西入上る七番町323番地の1	福勝寺	35.0215799	135.7411088
2-7	京都市上京区仁和寺街道千本西入五番町161番地	國生寺	35.0240954	135.7415736
2-8	京都市上京区出水通七本松東入七番町358番地	慈眼寺	35.0221353	135.7394852
3-1	京都市上京区寺町通上立売上る鶴山町5番地2	鶴山公園	35.0342498	135.7655207
3-2	京都市上京区今出川通寺町入一真町86	ほっこりはあと出町	35.0315746	135.7687657
3-3	京都市上京区塔之段藪之下町428番地	京極幼稚園	35.0319965	135.7642265
3-4	京都市上京区河原町通今出川上る青龍町	京都市出町駐車場	35.0302692	135.7704362
3-5	京都市上京区寺町通広小路東入中御霊町410番地	京都府立医科大学附属図書館(南側)	35.0233621	135.7688016
3-6	京都市上京区寺町通石薬師下る西側染殿町658番地	京極小学校(北側)	35.0277422	135.7672151
3-7	京都市上京区寺町通石薬師下る西側染殿町658番地	京極小学校(正門横)	35.0273293	135.7677623
4-1	京都市上京区山本町181-6	澤井ガレージ	35.0221874	135.7460879
4-2	京都市上京区浄福寺通下立売下る中務町487番地	二条城北小学校(南側)	35.0188118	135.7448784
4-3	京都市上京区下立売通日暮西入中村町538番地	中村公園	35.0198792	135.7470899
4-4	京都市上京区浄福寺通下立売下る中務町487番地	二条城北小学校(東側)	35.0193719	135.7460639
4-5	京都市上京区郁芳通美福東入主税町910番地40	二条公園(東側)	35.016924	135.7464127
4-6	京都市上京区下立売通千本東入田中町439番地	平安宮跡内裏跡	35.0200638	135.7431575
4-7	京都市上京区郁芳通美福東入主税町910番地40	二条公園(西側)	35.0163002	135.745592
4-8	京都市上京区竹屋町通千本東入主税町910番地の25	旧京都市児童福祉センター	35.0164233	135.7445156
4-9	京都市上京区智恵光院通下長者町上る西辰巳町116番地3	辰巳(和楽)公園	35.0226535	135.7469632
5-1	京都市上京区堀川通鞍馬口下る天神北町1番地の1	(株)スクリーンホールディングス(北側)	35.037971	135.7516147
5-2	京都市上京区大宮頭今宮御旅所西入若宮横町136番地	今宮神社旅所(西側)	35.0392351	135.7488562
5-3	京都市上京区堀川通鞍馬口下る天神北町1番地の1	(株)スクリーンホールディングス(西側)	35.0369827	135.7509173
5-4	京都市上京区堀川通上御霊前上る扇町723番地3	扇町(天神)公園(西側)	35.0361185	135.751675
5-5	京都市上京区堀川通寺之内上る二丁目下天神町650番地の1	北総合支援学校	35.0357136	135.7505381
5-6	京都市上京区下清蔵口町132番地	京都市北積替所	35.0377869	135.7522414
5-7	京都市上京区大宮頭今宮御旅所西入若宮横町136番地	今宮神社旅所(南側)	35.0389397	135.7490533
5-8	京都市上京区堀川通上御霊前上る扇町723番地3	扇町(天神)公園(東側)	35.0359628	135.7525827
6-1	京都市上京区千本通蘆山寺上ル閻魔前町34番	千本ゑんま堂(引接寺)	35.03527	135.7407273
6-2	京都市上京区蘆山寺通大宮西入西社町166番地	因隆寺	35.0349823	135.7449584
6-3	京都市上京区寺之内通千本東入一丁目下る姥ヶ寺之前町919番地の3	乾隆小学校(正門南)	35.0335613	135.7431959
6-4	京都市上京区寺之内通千本東入一丁目下る姥ヶ寺之前町919番地の3	乾隆小学校(正門北)	35.0337458	135.7431959
6-5	京都市上京区寺之内通浄福寺西入上る西熊町289番地の1	桑の木ひろば	35.0341736	135.744917
6-6	京都市上京区寺之内通千本東入二丁目新猪熊東町369番地	西田正宏方	35.0341298	135.7433045
7-1	京都市上京区今出川通千本東入般舟院前町148番地	嘉楽中学校(南門横)	35.029878	135.7436621
7-2	京都市上京区今出川通浄福寺西入二丁目東上善寺町152番地	西陣郵便局(西側)	35.0296574	135.743788
7-3	京都市上京区今出川通千本東入般舟院前町148番地	嘉楽中学校(北側東外壁)	35.0310113	135.7442736
7-4	京都市上京区今出川通浄福寺西入二丁目東上善寺町152番地	西陣郵便局(南側)東端	35.0292796	135.7444129
7-5	京都市上京区浄福寺通笹屋町下る笹屋二丁目601番地	浄福寺ガレージ	35.0276881	135.7452922
7-6	京都市上京区智恵光院通笹屋町下る橘町630番地	橘公園(北側)	35.028038	135.7465806
7-7	京都市上京区浄福寺通五辻上る一色町11番地	柴田吉男方	35.0311319	135.7454612
8-1	京都市上京区上長者町通裏門東入須浜町568番地2	警察職員待機宿舎(西陣)	35.0234854	135.7468726
8-2	京都市上京区中立売通智恵光院西入多門町445番地の6	永井ガレージ	35.0250579	135.7466226
8-3	京都市上京区浄福寺通中立売下る菱丸町173番地	正親小学校(北側)	35.024925	135.7455765
8-4	京都市上京区浄福寺通中立売下る菱丸町173番地	正親小学校(西側)	35.0244132	135.7451581
8-5	京都市上京区上長者町通智恵光院西入須浜町563番地	吉村半管理地	35.0235841	135.7466018
8-6	京都市上京区中立売通智恵光院西入多門町445番地4	花友じゅらくだい	35.0254532	135.7462014
9-1	京都市上京区葭屋町通中立売下る北俵町317番地	元聚楽小学校(東側)	35.0242768	135.7511657
9-2	京都市上京区上京区名和公園	名和公園(東側)	35.0256306	135.7493785
9-3	京都市上京区元大宮通中立売上る梨木町193番地2	聚楽会館	35.0250194	135.7514583
9-4	京都市上京区大宮通下長者町下る清元町720番地1	市川晃方	35.0225379	135.7489449
9-5	京都市上京区葭屋町通中立売下る北俵町317番地	元聚楽小学校(通用門横)	35.0243691	135.7506078
10-1	京都市上京区堀川通下長者町下る桝屋町18番地	久保久子方	35.0219758	135.7515538
10-2	京都市上京区下立売通猪熊西入橋西二丁目625番地	長源寺(東側)	35.0203961	135.7505191
10-3	京都市上京区下立売通猪熊西入橋西二丁目625番地	長源寺(南側)	35.0200017	135.7503595
10-4	京都市上京区大宮通椹木町通上る菱屋町819番地	福本秀士方	35.0188276	135.7489483
10-5	京都市上京区丸太町通黒門東入薬屋町536番地の1	元待賢小学校(通用門横)	35.0172523	135.7495694
10-6	京都市上京区丸太町通黒門東入薬屋町536番地の1	元待賢小学校(通用門東側)	35.0172611	135.7503365
10-7	京都市上京区丸太町通黒門東入薬屋町536番地の1	元待賢小学校(正門横)	35.0169228	135.7504706
