code	address	place	lat	lon
1-1	京都市北区上賀茂烏帽子ヶ垣内町34	烏帽子公園	35.0555867	135.7576292
1-2	京都市北区上賀茂本山339	賀茂別雷神社	35.0582823	135.7521068
1-3	京都市北区上賀茂池殿町55	上賀茂こども園	35.0559672	135.7540936
1-4	京都市北区上賀茂岡本口町1	岡本口公園	35.0581092	135.7614215
1-5	京都市北区上賀茂松本町84	西松本公園	35.052718	135.7650383
1-6	京都市北区上賀茂桜井町44	糠田公園	35.0525585	135.7620311
1-7	京都市北区上賀茂薮田町24	菖蒲園公園	35.0524188	135.758417
1-8	京都市北区上賀茂土門町50	穂根東公園南東側	35.0548033	135.7619926
1-9	京都市北区上賀茂池端町25	森田方	35.0558808	135.7672014
1-10	京都市北区上賀茂畔勝町42	松田公園	35.0559327	135.7649795
1-11	京都市北区上賀茂池端町11	深泥池児童公園	35.0567052	135.7681243
2-1	京都市北区西賀茂南今原町89	今原公園		
2-2	京都市北区大宮中ノ社町37	大宮小学校南側	35.058283	135.7466905
2-3	京都市北区大宮中ノ社町37	大宮小学校北側	35.0594532	135.7468541
2-4	京都市北区大宮南田尻町26	今川方		
2-5	京都市北区大宮北ノ岸町1	(株)彌榮自動車	35.0591318	135.7493419
2-6	京都市北区西賀茂榿ノ木町69	鹿ノ下公園	35.0603419	135.7482058
2-7	京都市北区大宮中ノ社町37	大宮小学校西側	35.0590141	135.7457115
2-8	京都市北区大宮西脇台町17	大宮交通公園東側	35.0531715	135.7439636
2-9	京都市北区大宮西脇台町17	大宮交通公園南側	35.0525962	135.7433735
2-10	京都市北区大宮中総門口町16	西賀茂児童公園		
2-11	京都市北区西賀茂鎮守菴町130	鎮守庵公園	35.0593854	135.7404386
3-1	京都市北区紫竹上長目町5	加茂川中学校西側	35.0546133	135.7515128
3-2	京都市北区紫竹北大門町65	今泉方	35.0526126	135.7443386
3-3	京都市北区紫竹下園生町26	紫竹小学校東側	35.0531548	135.7513652
3-4	京都市北区紫竹上長目町5	加茂川中学校南側	35.0537746	135.7524999
3-5	京都市北区紫竹下竹殿町46-2	北部方	35.0518279	135.7487142
3-6	京都市北区紫竹下竹殿町47	久我神社	35.0519374	135.7476842
3-7	京都市北区紫竹上緑町57	緑町公園	35.0508856	135.7492465
3-8	京都市北区紫竹上芝本町114	竹内方	35.0505471	135.7502711
3-9	京都市北区紫竹上本町23	上堀川公園	35.051442	135.7519279
4-1	京都市北区小山板倉町14	板倉町ガレージ	35.0463354	135.7558145
4-2	京都市北区小山西元町14	元町小学校東側	35.0502708	135.754497
4-3	京都市北区小山西元町14	元町小学校南側	35.0500732	135.754041
4-4	京都市北区小山西元町14	元町小学校北側	35.0506353	135.7534938
4-5	京都市北区小山花ノ木町40	花ノ木町ガレージ	35.0472078	135.7575434
5-1	京都市北区紫竹東高縄町15	梅田方	35.0462286	135.750738
