code	address	place	lat	lon
1-1	京都市南区西九条南小路町1	九条中学校(東側)	34.980676	135.7503605
1-2	京都市南区西九条南小路町1	九条中学校(北側)	34.9810671	135.7500869
1-3	京都市南区西九条猪熊町31	福野方倉庫		
1-4	京都市南区西九条唐橋町4	五十棲方 月極駐車場	34.9810265	135.7508312
1-5	京都市南区西九条戒光寺町	戒光寺公園	34.9846327	135.7519762
2-1	京都市南区西九条大国町4	鳥羽高等学校	34.9773985	135.7433612
2-2	京都市南区西九条高畠町35-2	株式会社美十駐車場	34.9733344	135.7444539
2-3	京都市南区西九条唐戸町	南第一自歩1号線	34.9757028	135.7429853
2-4	京都市南区西九条高畠町45	京都日産自動車(株)本社店	34.9745883	135.7450017
2-5	京都市南区西九条豊田町9	豊田公園	34.9749189	135.7441991
2-6	京都市南区西九条豊田町4	日之出水道機器株式会社京都営業所	34.9750377	135.7460124
2-7	京都市南区西九条大国町	月極国道ガレージ	34.9767611	135.7460246
3-1	京都市南区西九条御幸田町109	九条塔南小学校(東側)	34.9759442	135.7487895
3-2	京都市南区西九条御幸田町109	九条塔南小学校(西側)	34.9756804	135.7478024
3-3	京都市南区西九条南田町1-3	南区役所	34.9765985	135.7462049
3-4	京都市南区西九条南田町	西九条公園	34.9774386	135.7478131
3-5	京都市南区西九条西柳ノ内町13	柳の内公園	34.9746104	135.750723
3-6	京都市南区西九条比永城町	比永城公園	34.9775376	135.7506885
3-7	京都市南区西九条森本町37	旧生活環境美化センター	34.9731938	135.7498756
4-1	京都市南区西九条春日町13	九条弘道小学校(西側)	34.9809818	135.7538098
4-2	京都市南区西九条春日町13	九条弘道小学校(東側)	34.9809467	135.7553977
4-3	京都市南区西九条春日町45	春日公園	34.9811125	135.7545226
4-4	京都市南区西九条島町(近鉄高架下)	東寺駅自転車等駐車場	34.9791408	135.7524685
4-5	京都市南区西九条蔵王町(近鉄高架下)	ちびっこ広場	34.9811729	135.7525255
4-6	京都市南区西九条東柳ノ内町(近鉄高架下)	近鉄十条駅自転車等駐車場	34.9741601	135.7522229
4-7	京都市南区西九条東島町21	随林寺保育園	34.9771495	135.7537693
5-1	京都市南区東九条南烏丸町19	凌風学園東和校地第2施設(東側)	34.9781736	135.7594725
5-2	京都市南区東九条下殿田町24	京都ライフサポート協会 若杉	34.9803372	135.7582041
