code	address	place	lat	lon
1-1	京都市西京区嵐山森ノ前町13-22	嵐山森ノ前公園	35.0048698	135.6873471
1-2	京都市西京区嵐山宮ノ前町49番地	阪急松尾大社駅(西側)	35.0005368	135.687885
1-3	京都市西京区嵐山風呂ノ橋町2-21	風呂ノ橋公園	35.0057636	135.6859621
1-4	京都市西京区嵐山東海道町46番地	嵐山東小学校(西側)	35.0065076	135.6863529
1-5	京都市西京区嵐山西一川町	阪急嵐山駅(東側)	35.0103344	135.6819331
1-6	京都市西京区嵐山樋ノ上町8-8他	樋ノ上公園	35.0088194	135.684308
1-7	京都市西京区嵐山西一川町	阪急嵐山駅(西側)	35.0099038	135.6815629
1-8	京都市西京区嵐山薬師下町	宇多野嵐山山田線	35.0032991	135.6855085
1-9	京都市西京区嵐山薬師下町12-3	薬師下児童公園	35.00311	135.6842105
2-1	京都市西京区松室追上ゲ町	一ノ鳥居橋	34.998637	135.6884337
2-2	京都市西京区松室田中町6番地	川口 嘉博方	34.9946069	135.6878567
2-3	京都市西京区松尾井戸町32番地	松尾小学校(北側)	34.9931048	135.6893981
2-4	京都市西京区松室中溝町	中溝児童公園	34.9965923	135.6932059
2-5	京都市西京区松尾木/曽町24番地の1	宇多野嵐山山田線	34.9919886	135.6930725
2-6	京都市西京区山田弦馳町34番地の1	穐田啓三ガレージ	34.9887312	135.6899765
2-7	京都市西京区松尾井戸町32番地	松尾小学校(東側)	34.9921292	135.6899453
2-8	京都市西京区松尾東ノ口町	東ノ口公園	34.9945275	135.6960999
2-9	京都市西京区松室荒堀町	松尾緯39号線	34.9945989	135.6921129
3-1	京都市西京区山田四ノ坪町3番地	小田 裕久 所有地	34.9860873	135.6911053
3-2	京都市西京区山田車塚町13-4	車塚公園	34.9831803	135.6921599
3-3	京都市西京区山田平尾町38-29	平尾公園	34.9841653	135.686549
3-4	京都市西京区山田平尾町51-20他	松陽公園	34.9821045	135.6893096
3-5	京都市西京区御陵北山町1番地	小原 政宏 方ガレージ	34.9790033	135.6888374
3-6	京都市西京区御陵北山下町22-31	北山下公園		
3-7	京都市西京区山田大吉見町20-2	大吉見公園	34.9813288	135.6908926
3-8	京都市西京区山田猫塚町18番地	小島巌ガレージ	34.9823587	135.689894
4-1	京都市西京区桂上野北町	上野北児童公園	34.997022	135.7016892
4-2	京都市西京区上桂東居町31番地	中村秀男方	34.9908206	135.7013012
4-3	京都市西京区上桂前田町64番地の2	大八木 利彦方	34.9894749	135.69959
4-4	京都市西京区上桂西居町48番地	上桂御霊神社	34.9906639	135.6980252
4-5	京都市西京区桂上野西町274番地	桂川小学校	34.9942868	135.7009249
4-6	京都市西京区上桂森下町25番地の1	西京区総合庁舎(北西角)	34.985392	135.6931005
4-7	京都市西京区上桂森上町26番地	桂中学校(西側)	34.9876808	135.693092
4-8	京都市西京区上桂宮ノ後町33番地の2	阪急上桂駅 (西側)	34.9905043	135.6956054
5-1	京都市西京区上桂三ノ宮町26番地の47	加藤 栄子 方	34.9854895	135.6976639
5-2	京都市西京区桂艮町	桂緯152号線(2)	34.9862258	135.6999463
5-3	京都市西京区桂千代原町67番地	千代原ガレージ	34.9835962	135.6956001
5-4	京都市西京区桂南巽町68-1	桂巽公園	34.9811301	135.7008246
5-5	京都市西京区桂巽町75番地の5	桂小学校(北通用門)	34.983132	135.6999105
5-6	京都市西京区桂坤町45番地の1	成岡 恭子 所有地	34.9814816	135.6958023
5-7	京都市西京区桂坤町6番地	桂西ロガレージ	34.9797296	135.698628
5-8	京都市西京区桂下豆田町	阪急桂駅車庫(西側)	34.9825503	135.7024557
6-1	京都市西京区桂御所町1-31	桂御所公園	34.9870045	135.7008967
6-2	京都市西京区桂徳大寺南町2番地	桂徳小学校(北西側)	34.9896046	135.7050286
6-3	京都市西京区桂徳大寺町	徳大寺公園	34.9905031	135.7059936
6-4	京都市西京区桂徳大寺南町2番地	桂徳小学校(南側)	34.9889278	135.7062463
6-5	京都市西京区桂河田町	清水公園	34.9876942	135.7077202
6-6	京都市西京区桂御所町1番83	桂御所第二公園	34.9861912	135.7031045
6-7	京都市西京区桂池尻町他	池尻公園	34.9882166	135.7034843
6-8	京都市西京区桂徳大寺南町2番地	桂徳小学校(北東側)	34.9898156	135.7059084
7-1	京都市西京区桂久方町78番地	中路 文之助所有地	34.9843254	135.7057071
7-2	京都市西京区桂下豆田町	阪急桂駅車庫(東側)	34.9827568	135.7037538
7-3	京都市西京区桂野里町	阪急桂駅東側	34.9804857	135.7036589
7-4	京都市西京区桂木ノ下町	桂木ノ下町用水路沿い	34.9808069	135.7072006
7-5	京都市西京区桂浅原町24	浅原公園	34.9806979	135.7106714
7-6	京都市西京区桂朝日町55番地の4	野木 達夫方		
7-7	京都市西京区桂市ノ前町31番地	桂東小学校(北側)	34.9777544	135.7074072
7-8	京都市西京区桂市ノ前町42番地の2	下嶋清二方	34.978596	135.709061
8-1	京都市西京区牛ヶ瀬林ノ本町	牛ケ瀬公園	34.9754847	135.7164709
