code	address	place	lat	lon
1-1	京都市左京区聖護院蓮華蔵町35	上下水道局疏水事務所	35.0154563	135.7743951
1-2	京都市左京区新東洞院町252	元新洞小学校(東側)	35.0131435	135.7751848
1-3	京都市左京区新東洞院町252	元新洞小学校(西側)	35.0130424	135.7746752
1-4	京都市左京区法林寺門前町36	「だん王保育園(北側)	35.0101402	135.7732979
1-5	京都市左京区法皇寺町448	要法寺東側ガレージ	35.0098827	135.7778303
1-6	京都市左京区大菊町96	頂妙寺駐車場	35.013608	135.7734863
1-7	京都市左京区東門前町527-1	満足稲荷神社	35.0105514	135.7783491
2-1	京都市左京区岡崎東福ノ川町2-3	京都大学医学部納骨墓地	35.0202602	135.7861638
2-2	京都市左京区岡崎東福ノ川町9	白河総合支援学校(北西角)	35.0205445	135.7843377
2-3	京都市左京区岡崎入江町1-1	錦林小学校(北側)	35.0184763	135.7821028
2-4	京都市左京区岡崎円勝寺町124	京都市美術館(東側南)	35.0122112	135.784594
2-5	京都市左京区岡崎入江町1-1	「錦林小学校グラウンド (南側)	35.0174219	135.7827787
2-6	京都市左京区岡崎最勝寺町	岡崎公園(テニスコート東側)	35.013912	135.784594
2-7	京都市左京区岡崎円頓美町46-2	京都市武道センター (西側)	35.0168605	135.7803971
2-8	京都市左京区岡崎最勝寺町	上下水道局管理地(二条橋北側西)	35.0138066	135.7799806
2-9	京都市左京区岡崎成勝寺町9	岡崎公園(京都府立図書館北側)	35.0134286	135.7824114
2-10	京都市左京区岡崎徳成町5	京都外国語専門学校(西側)	35.0137705	135.7775645
2-11	京都市左京区下堤町	京阪電鉄地下鉄換気場(川端通東側)	35.0158102	135.772548
2-12	京都市左京区聖護院蓮華蔵町	上下水道局管理地(熊野橋西側南)	35.0155024	135.7773762
2-13	京都市左京区聖護院山王町43	「熊野神社(南側)	35.0175062	135.7780184
3-1	京都市左京区岡崎東天王町1	岡崎中学校(西側)	35.0157434	135.788741
3-2	京都市左京区岡崎東天王町1	岡崎中学校(北側)	35.0164551	135.7893096
3-3	京都市左京区鹿ヶ谷高岸町3-2	京都市左京東部いきいき市民活動センター (東側)	35.0159213	135.7934183
3-4	京都市左京区鹿ヶ谷高岸町3-2	錦林保育園(南側)	35.0155259	135.7931286
3-5	京都市左京区岡崎法勝寺町22	京都市動物園(北側)	35.0134054	135.7877759
3-6	京都市左京区岡崎法勝寺町22	京都市動物園(北側西)	35.0135108	135.7851903
3-7	京都市左京区岡崎法勝寺町22	京都市動物園(東側)	35.0125091	135.788366
4-1	京都市左京区浄土寺下南田町	左京土木みどり事務所管理地(白川東岸)	35.0241953	135.7936662
4-2	京都市左京区鹿ヶ谷上宮ノ前町10	「ひまわり保育園	35.0182244	135.792352
4-3	京都市左京区鹿ヶ谷法然院町	「ちびっこひろば(西側)	35.0224535	135.7967577
4-4	京都市左京区鹿ヶ谷上宮ノ前町37	左京消防署鹿ヶ谷消防出張所(南側)		
4-5	京都市左京区鹿ヶ谷宮ノ前町6	第三錦林小学校(東側南)	35.0191263	135.7932029
4-6	京都市左京区鹿ヶ谷宮ノ前町6	第三錦林小学校(北側)	35.0196139	135.792594
4-7	京都市左京区浄土寺上南田町32	南田公園(南側)	35.0249893	135.7942604
4-8	京都市左京区浄土寺上南田町32	南田公園(北側)	35.0254067	135.794416
5-1	京都市左京区吉田近衛町26-1	府営住宅吉田近衛団地(西側)	35.0208939	135.7786674
5-2	京都市左京区吉田本町	左京土木みどり事務所管理地(百万遍交差点南東)	35.0284465	135.7793114
5-3	京都市左京区吉田本町	左京土木みどり事務所管理地(同町26番地付近)	35.0284729	135.785341
5-4	京都市左京区吉田下大路町15	左京土木みどり事務所管理地 (近衛通吉田東通北西)	35.0220473	135.7822681
5-5	京都市左京区吉田近衛町26-53	近衛中学校(北側西)	35.02178	135.7793731
5-6	京都市左京区吉田近衛町26-53	近衛中学校(北側東)	35.0217888	135.7803816
5-7	京都市左京区吉田近衛町26-53	近衛中学校(東側南)	35.0210507	135.7807785
5-8	京都市左京区吉田上大路町	吉田神社参道(西側)	35.0251122	135.7820029
6-1	京都市左京区吉田泉殿町	京都大学西部講堂(西側)	35.0276672	135.7772351
6-2	京都市左京区吉田河原町15-18	吉田河原公園(東側)	35.0234629	135.7741508
6-3	京都市左京区吉田泉殿町49-1	泉殿公園	35.0268253	135.7761932
6-4	京都市左京区吉田橘町29-1	関電サービス(株) 一条変電所		
6-5	京都市左京区吉田河原町14	(公財)京都技術科学センター	35.0243463	135.7740711
6-6	京都市左京区吉田中阿達町1	京都大学大学院総合生存学館(東側)	35.0258746	135.7754681
6-7	京都市左京区吉田上阿達町15-2	第四錦林小学校(正門西側)	35.0253383	135.774359
6-8	京都市左京区吉田下阿達町46	京都大学東南アジア研究所(北側)	35.021689	135.7726467
7-1	京都市左京区浄土寺東田町	(株)ミツワ 左京ガスセンター駐車場(西側)	35.0257185	135.7919776
7-2	京都市左京区浄土寺石橋町62	京都市銀閣寺観光駐車場	35.0267423	135.7947905
7-3	京都市左京区浄土寺下馬場町112地先	左京土木みどり事務所管理地(東第三経17号線)	35.0225393	135.7922477
7-4	京都市左京区銀閣寺町	上下水道局管理地(銀閣寺西橋東側)	35.0273706	135.7944029
7-5	京都市左京区浄土寺馬場町48	一般財団法人川越病院	35.0243596	135.7927726
7-6	京都市左京区吉田神楽岡町107	コドモのイエ幼稚園		
7-7	京都市左京区浄土寺真如町177地先	左京土木みどり事務所管理地(東第四経7号線)	35.0208811	135.7912142
8-1	京都市左京区北白川伊織町	左京土木みどり事務所管理地(白川疏水右岸)	35.0366239	135.7885523
8-2	京都市左京区北白川久保田町	左京土木みどり事務所管理地(浄土寺橋西側南)	35.0280823	135.7912587
8-3	京都市左京区北白川上別当町10	中山ガレージ	35.0329045	135.7919756
8-4	京都市左京区北白川別当町70	北白川小学校(北側)	35.0322673	135.792511
8-5	京都市左京区北白川別当町70	北白川小学校(南側)	35.031257	135.7925968
8-6	京都市左京区北白川小倉町50-227	京都大学北白川学舎(西側)	35.0318346	135.7901659
8-7	京都市左京区北白川久保田町79-1	疏水緑地帯(南側)	35.0283546	135.7898747
8-8	京都市左京区北白川瀬ノ内町46	上終公園(北東角)	35.0352796	135.7908967
8-9	京都市左京区北白川西町	「左京土木みどり事務所管理地(白川疏水左岸)	35.0308651	135.788248
8-10	京都市左京区北白川西蔦町27	京都府警西蔦町待機宿舎		
8-11	京都市左京区北白川東平井町	左京土木みどり事務所管理地(白川疏水左岸)	35.0350268	135.7887381
8-12	京都市左京区北白川東蔦町	左京土木みどり事務所管理地(白川疏水左岸)	35.0333232	135.7889272
9-1	京都市左京区久多川合町192-3	消防団器具庫	35.2709107	135.8446167
9-2	京都市左京区久多下の町203	久多いきいきセンター	35.2638766	135.8234435
9-3	京都市左京区久多宮の町3	左京区役所久多出張所		
9-4	京都市左京区久多上の町	小畑貞子様所有地(同町110番地西)	35.2770166	135.8103221
9-5	京都市左京区久多中の町	檀林キミ子様所有地(大川神社付近)	35.2698788	135.8151258
9-6	京都市左京区久多宮の町	河原康博様所有地(龍宝寺付近)	35.2646947	135.8112884
10-1	京都市左京区田中大堰町49	公益財団法人応用科学研究所(南側)		
10-2	京都市左京区田中馬場町25	養正市営住宅13棟(東側)	35.0332406	135.7763078
10-3	京都市左京区田中玄京町149	左京西部いきいき市民活動センター (南西角)	35.032105	135.7761463
10-4	京都市左京区田中飛鳥井町1	養正小学校(西側)	35.0323206	135.7778915
10-5	京都市左京区田中飛鳥井町1	養正小学校(北側)	35.0327335	135.7783206
10-6	京都市左京区田中馬場町	養正公園(西側)	35.0327725	135.774913
10-7	京都市左京区田中飛鳥井町7	飛鳥井公園(西側)	35.0318023	135.7788785
10-8	京都市左京区田中門前町103	百萬遍知恩寺(北側)	35.0311266	135.7810941
10-9	京都市左京区田中上玄京町	叡山電鉄叡山本線出町柳4号踏切(南側東)	35.0336713	135.7768192
10-10	京都市左京区田中下柳町	左京土木みどり事務所管理地(出町柳駅前バス停付近)	35.0296248	135.7724474
10-11	京都市左京区田中関田町22	メグミ幼児園	35.0292838	135.7742933
10-12	京都市左京区田中関田町2-26	府営住宅田中関田団地(西側)	35.0281825	135.7757507
11-1	京都市左京区高野西開町34-3	東部まち美化事務所	35.0392614	135.7775638
11-2	京都市左京区高野泉町	左京土木みどり事務所管理地(川端通西側)	35.0464243	135.7832915
11-3	京都市左京区高野玉岡町1-146	玉岡公園(南側)		
11-4	京都市左京区高野玉岡町5	障害者スポーツセンター (東側)	35.0452187	135.7840843
11-5	京都市左京区高野竹屋町4	左京土木みどり事務所	35.042368	135.7803262
11-6	京都市左京区高野蓼原町	左京土木みどり事務所管理地(御蔭橋バス停付近)	35.034878	135.7752667
11-7	京都市左京区高野西開町	左京土木みどり事務所管理地(高野橋東詰バス停付近)	35.0420276	135.7790814
11-8	京都市左京区高野東開町1-6	東開公園(東側)	35.0386026	135.7818967
11-9	京都市左京区高野西開町34-7	西開公園(北側)	35.0401984	135.7787277
12-1	京都市左京区田中上古川町25	高野中学校(北側)	35.0405059	135.7833895
12-2	京都市左京区田中上古川町25	高野中学校(西側)	35.0399437	135.7826599
12-3	京都市左京区田中大久保町68	叡山電鉄叡山本線元田中1号踏切(南側東)	35.0351481	135.782306
12-4	京都市左京区田中上大久保町24	養徳小学校(北側)	35.037992	135.7832324
12-5	京都市左京区田中上大久保町24	養徳小学校(南側)	35.0370433	135.7833773
12-6	京都市左京区田中北春菜町8	高原公園(西側)	35.0364973	135.7844275
12-7	京都市左京区田中高原町24	鴨東幼稚園(南側)	35.0368576	135.7865168
