code	address	place	lat	lon
1-1	京都市右京区太秦和泉式部町8番地の2	扶桑管工業ガレージ	35.01709877443845	135.71359320960366
1-2	京都市右京区太秦蜂岡町31番地	うずまさ共生の郷(南側)	35.01375860184624	135.7069911586019
1-3	京都市右京区太秦西蜂岡町4番地	(株)建巧社(南側)	35.01443193020495	135.70408450494517
1-4	京都市右京区太秦多薮町14番地の144	太秦中学校(東側)	35.011926335127264	135.70433533157004
1-5	京都市右京区太秦西蜂岡町9番地	東映株式会社京都撮影所(南西角)	35.01524040923558	135.70477209863378
1-6	京都市右京区太秦奥殿町1番地の1	太秦小学校(北側)	35.01251111706698	135.70648277317946
1-7	京都市右京区太秦奥殿町1番地の1	太秦小学校(東側)	35.01211069913363	135.70727785935387
1-8	京都市右京区太秦一ノ井町	一ノ井公園	35.017141463151916	135.7114001690577
2-1	京都市右京区太秦皆正寺町14番地	山口達也方(東側)	35.01007684859943	135.7015257406331
2-2	京都市右京区太秦皆正寺町	皆正寺公園(北側)	35.0100236839788	135.70044626201414
2-3	京都市右京区太秦土本町21番地の1	田村勢津方ガレージ(南側)	35.01002405261422	135.70368736064654
2-4	京都市右京区太秦樋ノ内町4-2	三菱自動車工業(株)京都製作所(西側門付近)	35.00751810677375	135.7061601233361
2-5	京都市右京区太秦前ノ田町22番地	南太秦小学校(南側)	35.00849709407776	135.7027097134164
2-6	京都市右京区太秦川所町4番地3	藤田所有ガレージ	35.00669960803361	135.70493911336953
3-1	京都市右京区太秦井戸ヶ尻町25番地4	NTT京都支店右京別館(西側)	35.01324226726745	135.71176650961135
3-2	京都市右京区太秦森ケ前町1番地	木島神社ガレージ(東側)	35.01344696094164	135.71330856042593
3-3	京都市右京区太秦森ケ東町50番地の1	木島神社(東側)	35.0145439894722	135.71363345711057
3-4	京都市右京区太秦下刑部町12番地	サンサ右京(右京区役所北側)	35.01014297589707	135.71631504797432
3-5	京都市右京区太秦上刑部町10番地	大日本印刷(株)東側	35.01298928872812	135.7161914079409
3-6	京都市右京区太秦下刑部町7番地	京都相互タクシー(株)北側	35.01087770432519	135.7141706650663
3-7	京都市右京区太秦森ケ前町22番地の3	京都市うずまさ学園(フェンス)	35.00991090970661	135.71305181669294
3-8	京都市右京区太秦滝ヶ花町	滝ヶ花公園(北側)	35.00752850366172	135.7099427351779
4-1	京都市右京区常盤東ノ町26番地	太秦自動車教習所(南側)	35.01945229857513	135.71004546386004
4-2	京都市右京区太秦京ノ道町20番地の5	常磐野小学校(西側)	35.02188780000001	135.7028704
4-3	京都市右京区太秦蜂岡町10番地	東映太秦映画村駐車場(東側)	35.018599574417095	135.70887129203362
4-4	京都市右京区常盤窪町2番地	府営住宅常盤団地(西側)	35.0202023	135.70581999999996
4-5	京都市右京区常盤段ノ上町	常磐野公園(北側)	35.021105209812184	135.70395504659973
4-6	京都市右京区常盤段ノ上町15番地	嵯峨野高等学校(南側)	35.02034301930052	135.7036303804404
4-7	京都市右京区太秦乾町	太秦乾公園	35.02051988241579	135.69817344718263
4-8	京都市右京区太秦蜂岡町	蜂ヶ岡第二公園	35.01946826839378	135.70483383471498
4-9	京都市右京区太秦開日町20番地の7	京都生協嵯峨野組合員センター第一駐車場(東側)	35.022428500000004	135.6987253
4-10	京都市右京区太秦乾町2番地	蜂ヶ丘市営住宅集会所(南側)	35.02109619964378	135.69858616596503
5-1	京都市右京区嵯峨野清水町8番地の1	北村ガレージ(北側)	35.01826155037587	135.69328998679572
5-2	京都市右京区嵯峨野開町1番地の1	蜂ヶ岡中学校(北側)	35.01649395007471	135.69835494363372
5-3	京都市右京区嵯峨野開町1番地の1	蜂ヶ岡中学校(南側)	35.016093756118785	135.69792764336975
5-4	京都市右京区太秦上ノ段町	上ノ段公園(南側)	35.01723959364348	135.70143252024718
5-5	京都市右京区太秦堀ケ内町9番地の2	石田昌枝方(東側)	35.01367493053426	135.7016402861416
5-6	京都市右京区嵯峨野宮ノ元町47番地	石田正夫方(東側)	35.014243815375096	135.69243801098386
5-7	京都市右京区嵯峨野有栖川町25番地2	ガレージ有栖川(西側)	35.01649703502759	135.69267041598727
5-8	京都市右京区嵯峨野嵯峨ノ段町32番地2	月極駐車場(北側)	35.01849800480722	135.69480691730706
5-9	京都市右京区太秦堀ケ内町30番地の13	滋賀銀行太秦支店(南側)	35.014728864043065	135.70053817553455
6-1	京都市右京区梅津罧原町16番地	(一財)京都市上下水道サービス協会(北側)	35.0049046767013	135.69253814619753
6-2	京都市右京区梅津開キ町16番地	梅津北小学校(西側)	35.00620398482283	135.70026822056022
6-3	京都市右京区梅津北浦町19番地9	山本医院(西側)	35.00452837442169	135.69930938018754
6-4	京都市右京区梅津上田町43番地	岡部ガレージ(西側)	35.0051331067317	135.70453133498398
6-5	京都市右京区梅津開キ町16番地	梅津北小学校(東側)	35.006084234342325	135.701854377578
6-6	京都市右京区梅津フケノ川町9番地	梅ノ宮保育園(西側)	35.005130731606755	135.69414825496654
6-7	京都市右京区梅津フケノ川町	梅津フケノ川公園(北側)	35.004482178912056	135.69440703884868
6-8	京都市右京区梅津北川町34番地	梅津中学校(北西側)	35.00592864680363	135.69739242425578
7-1	京都市右京区梅津尻溝町	尻溝公園(北側)	35.00094199999999	135.6943842
7-2	京都市右京区梅津高畝町47番地	日新電機(株)(北側)	35.0024869	135.7082089
7-3	京都市右京区梅津高畝町47番地	日新電機(株)(東側)	35.0024869	135.7082089
7-4	京都市右京区梅津堤下町	堤下公園(北東側)	34.9996789	135.7085843
7-5	京都市右京区梅津東構口町	構口公園(北東側)	35.0013831	135.7050338
7-6	京都市右京区梅津西浦町14番地	サンコール株式会社四条通側	35.0027112	135.6975681
7-7	京都市右京区梅津中村町38番地	梅津小学校(東側)	35.0011535	135.6996531
7-8	京都市右京区梅津大縄場町	大縄場公園(北東側)	34.9991344	135.6946799
8-1	京都市右京区嵯峨明星町1番地の1	京都バス(株)嵐山営業所(北側)	35.01452872163103	135.69069644984978
8-2	京都市右京区嵯峨朝日町30番地	株式会社ナカガワ住建所有駐車場	35.01458977670298	135.68852229098388
8-3	京都市右京区嵯峨柳田町35番地の1	嵐山小学校(東側)	35.01331550375134	135.6869781127584
8-4	京都市右京区嵯峨中又町26番地の5	西脇貞幸方	35.01711710589993	135.68874687218783
8-5	京都市右京区嵯峨中又町無番地	京福電鉄車折神社駅(南側)	35.016619598139755	135.68910293822557
8-6	京都市右京区嵯峨北堀町20番地	嵯峨団地(西側)	35.01697333907001	135.68534546571743
8-7	京都市右京区嵯峨中通町6番地の29	石田泰方(西側)	35.0157172124603	135.68802883994798
8-8	京都市右京区嵯峨苅分町5番地	加藤美代三方ガレージ(南側)	35.01743374048442	135.69103116855464
9-1	京都市右京区嵯峨天龍寺角倉町	清滝道三条交差点(東側)	35.014390552804585	135.68105814261602
9-2	京都市右京区嵯峨天龍寺北造路町22番地の1	瀧野徳太郎所有駐車場(南西角)	35.0178442697322	135.67832057159006
9-3	京都市右京区嵯峨天龍寺車道町11番地の1	JR嵯峨嵐山駅(南側)	35.01871262596239	135.68094502029822
9-4	京都市右京区嵯峨天龍寺北造路4番地6	造路会議所(東側)	35.01662249659982	135.6790584051669
9-5	京都市右京区嵯峨天龍寺造路町31番地1	嵐山観光駐車場(南西角)	35.01446208056487	135.68011403519998
9-6	京都市右京区嵯峨天龍寺北造路町46番地の1	野々宮町自治会館(西側)	35.01713497433626	135.67722902512887
