code	address	place	lat	lon
1	宮津市字柳縄手345-1	宮津市役所前	35.5358326	135.1957509
2	宮津市字島崎2011	島崎テニスコートフェンス	35.5380133	135.1959484
3	宮津市字金屋谷879	仏性寺（鷲尾氏宅横）	35.5356379	135.1913395
4	宮津市字京街道213-1	京街道児童遊園フェンス	35.5327243	135.192812
5	宮津市字鶴賀2059-l	宮津武田病院フェンス	35.5364944	135.1985153
6	宮津市字鶴賀2109-2	宮津市地域ささえあいセンター	35.533581	135.1978845
7	宮津市字鶴賀2066-43	（有）ほくと不動産駐車場フェンス	35.5352024	135.1992377
8	宮津市字万年895-1	亀ヶ丘児童遊園フェンス	35.5366877	135.1906944
9	宮津市字池ノ谷	池ノ谷公民館前線路沿い（野立て）	35.5382587	135.1888807
10	宮津市字万年新地1181	日引商事（株）月極駐車場フェンス	35.5375623	135.1895703
11	宮津市字白柏1310	黒田亨氏宅前	35.5385209	135.1903744
12	宮津市字浜町3026	市民体育館横歩道フェンス	35.5391988	135.1921142
13	宮津市字漁師1690-2	汐見徳蔵氏宅前広場フェンス	35.5408621	135.190779
14	宮津市字漁師1775-4	浜公園フェンス	35.5423857	135.1910068
15	宮津市字杉末1516-2	よさの荘駐車場フェンス	35.5446387	135.189719
16	宮津市字万年	杉末児童公園フェンス（杉末会館前）	35.5453002	135.1870995
17	宮津市字外側2508	宮津小学校校庭西側フェンス	35.5322876	135.1948561
18	宮津市字猟師28-1	宮津天橋高等学校西側フェンス	35.529791	135.188623
19	宮津市字滝馬23	宮津天橋高等学校グラウンド南側フェンス	35.5280906	135.1901302
20	宮津市字京口139	京口橋横柵	35.5307928	135.1934519
21	宮津市字滝馬80-2	宮津天橋高等学校テニスコートフェンス（百合が丘）	35.5222042	135.1874459
22	宮津市字宮村1586	入柿工業駐車場フェンス	35.5215218	135.1895389
23	宮津市字滝馬787	中田正良氏宅前（野立て）	35.5210498	135.1867516
24	宮津市字安智2444	横町恵子氏宅プロック塀	35.5340346	135.2017561
25	宮津市字吉原2573	城東会館横公園フェンス	35.5321918	135.1995191
26	宮津市字中ノ丁2533	シャーメゾン中ノ丁フェンス	35.5320772	135.1971639
27	宮津市字宮村1321	滝谷建築前畑（旭が丘、野立て）	35.5304949	135.2012422
28	宮津市字宮村1169-1	八幡児童遊園フェンス	35.5285391	135.19569
29	宮津市字宮村1247	みずほ保育園フェンス	35.5289878	135.1975867
30	宮津市字宮村21-1	伊藤智代氏宅プロック塀	35.5244079	135.1920642
31	宮津市字皆原515	細見真氏宅本宅車庫ブロック塀	35.5336545	135.212727
32	宮津市字山中59	稲岡章氏宅ブロック塀	35.5303553	135.2270347
33	宮津市字波路2355-2	宮地医院横駐車場フェンス	35.5377926	135.2039349
34	宮津市字惣906-	たんぽぽ保育園	35.5345907	135.2060345
35	宮津市字波路168-1	森雄一郎氏宅（波路316)前防火水槽フェンス	35.5397868	135.2099774
36	宮津市字波路102-66	府営住宅東波路団地フェンス	35.5420661	135.209771
37	宮津市字波路716-9	関西電力送配電株式会社 宮津電柱囲場用地フェンス	35.5502936	135.2110821
38	宮津市字獅子崎813-9	問屋町児童遊園カーショップ側フエンス	35.5513856	135.214675
39	宮津市字小田2818	尾崎和子氏宅（辛皮、野立て）		
40	宮津市字小田2779	寺屋敷公会堂	35.4719922	135.1692658
41	宮津市字小田2547	石間護氏宅前	35.4611494	135.1515196
42	宮津市字小田1181-1	杉谷馨氏宅ブロック塀		
43	宮津市字小田1680-2	宮野稔氏宅車庫（関ヶ渕）	35.4946965	135.1611714
44	宮津市字小田604-1	上宮津浄水場フェンス		
45	宮津市字小田235	旧上宮津小学校フェンス	35.5072158	135.1810196
46	宮津市字喜多1136	大橋伸一氏宅プロック塀		
47	宮津市字今福1026	奥野正宜氏宅プロック塀	35.5118594	135.1894609
48	宮津市字喜多922-17	鳥ヶ尾第1児童遊園下石垣	35.5195005	135.1854282
49	宮津市字喜多1014	天神団地入口（野立て）	35.5150131	135.1849535
50	宮津市字新宮	新宮公民館下	35.52203	135.2353514
51	宮津市字中村282-3	平田常雄氏宅ブロック塀	35.53641	135.2412897
52	宮津市字中村215-1	内藤初乃氏宅（野立て）	35.5381533	135.2400785
53	宮津市字小寺770-1	石神神社フェンス	35.5397226	135.2388501
54	宮津市字上司1242	神田長ー氏宅横空地（野立て）	35.5441937	135.2366977
55	宮津市字上司1525	栗田中学校グランドフェンス	35.549229	135.2347432
56	宮津市字中津469-2	銀丘入口防火水槽フェンス	35.5553115	135.2361444
57	宮津市字中津256-1	堀口州興氏宅ブロック塀	35.5551179	135.2377759
58	宮津市字小田宿野160-3	竹中缶詰（株）フェンス	35.56194	135.2430645
59	宮津市字小田宿野357	栗田漁業生産組合		
60	宮津市字小田宿野150-1	狩野正敏氏宅	35.5607298	135.242778
61	宮津市字鏡ヶ浦469-4	鏡ヶ浦公民館横防火水槽	35.5637491	135.2482197
62	宮津市字小田宿野988-1	大浦俊輔氏宅プロック塀	35.5602267	135.2520532
63	宮津市字島陰224	葛剛樹氏宅前	35.5736603	135.2498172
