code	address	place	lat	lon
1-1	物集女町中海道1	府道中山稲荷線北側バス停前		
1-2	物集女町南条70	第2向陽小学校体育館正面入口横	34.9574827	135.6958694
1-3	物集女町中条26	物集女公民館	34.9632311	135.6943644
1-4	物集女町南条	妙玄池（南条公園南）東側	34.9581968	135.6973686
1-5	物集女町豆尾	西京高槻線焼肉なかむら前	34.9605462	135.6969188
1-6	物集女町出口	関西電力鉄塔フェンス東側	34.9587311	135.695086
2-1	寺戸町渋川	阪急京都線梅ノ木踏切東側	34.9515892	135.7050012
2-2	京都府向日市寺戸町北前田1	アンビエント東向日南側市道面	34.9564789	135.6994986
2-3	寺戸町向畑57-2	寺戸公民館西岩本医院駐車場横	34.9534222	135.7009578
2-4	京都府寺戸町北前田18	北前田公園フェンス	34.9550697	135.6994503
2-5	寺戸町東田中瀬	東田中瀬公園	34.9530037	135.7073991
2-6	寺戸町小佃	タイムズグランマークシティ東向日駅前駐車場西側フェンス	34.9534117	135.7027024
2-7	寺戸町西田中瀬	阪急東向日駅東出口南	34.953278	135.7045956
2-8	寺戸町小佃	阪急東向日駅西出口南	34.9528313	135.704478
3-1	向日町北山	向日神社参道向日コミセン北側	34.9442526	135.7000662
3-2	鶏冠井町楓畑24	勝山中学校正門横	34.9427839	135.7014067
3-3	寺戸町西ノ段	西ノ段公園	34.9456053	135.6994424
3-4	向日町北山	北山公園	34.944877	135.6995726
3-5	向日町北山	北山市営住宅駐車場フェンス	34.9449364	135.6987411
3-6	上植野町馬立8	京都府乙訓総合庁舎	34.9407482	135.6989335
4-1	鶏冠井町御屋敷	鶏冠井公民館西側駐車場	34.9440776	135.7063208
4-2	鶏冠井町祓所	祓所公園	34.9434817	135.7046764
4-3	鶏冠井町上古・八ノ坪	上古公園南水路橋フェンス	34.9437709	135.7112304
4-4	鶏冠井町大極殿	北大極殿公園	34.944239	135.7024299
4-5	鶏冠井町十相	十相公園	34.945612	135.7110065
4-6	鶏冠井町祓所37	史跡長岡宮跡閤門跡南東側鉄柱	34.9425077	135.7032467
5-1	上植野町下川原37-1	植野バス停南側	34.9364217	135.7007818
5-2	上植野町北小路	上植野城公園	34.9367098	135.7042522
5-3	上植野町切ノロ30	みのり荘駐車場	34.9366974	135.7010378
5-4	上植野町西小路2-1	法道寺北	34.9375575	135.7021204
5-5	上植野町西小路14	上植野公民館横御旅所	34.9360774	135.7038538
5-6	上植野切ノロ1	切ノロ公園	34.9387797	135.6997584
5-7	上植野町薮ノ下	バーバーサロンアマデウス向かい側ガードレール	34.9349191	135.7034806
6-1	上植野町南開	阪急西向日駅西出口駐輪場	34.9401641	135.7024833
6-2	上植野町南開	阪急西向日駅東出口駐輪場	34.9401157	135.7032987
6-3	上植野町御塔道25	NTT京都西山別館北東角	34.9410602	135.7021092
6-4	上植野町南開66-1	シルバー人材センター入口	34.9408844	135.7043074
6-5	上植野町南開	老福センター横運動広場東側	34.9412876	135.7048061
6-6	鶏冠井町沢ノ西	沢ノ西公園	34.9405038	135.707684
6-7	鶏冠井町堀ノ内48	番田通り阪急踏切東		
7-1	森本町薮路	旧第3保育所園庭西側南端	34.9472715	135.7060667
7-2	森本町上森本	和田ガレージ西側市道面	34.9518937	135.7085671
7-3	森本町上町田1-14	上町田公園	34.9526659	135.7109604
7-4	森本町下森本3	第3向陽小学校南側ガードレール	34.9486432	135.707233
7-5	森本町四ノ坪8	泉福寺前市道北		
7-6	森本町上森本	深田地下道西口北	34.9528346	135.7093825
7-7	森本町小柳23-1	市民体育館入口横	34.9464211	135.7121442
7-8	森本町山開3	白井公園	34.9465537	135.707077
8-1	寺戸町南垣内40	向日市立図書館南側東端	34.9489956	135.7001531
8-2	寺戸町古城	例慶公園	34.9516365	135.6987014
8-3	寺戸町辰巳	向陽幼稚園正門横	34.9491106	135.70125
8-4	寺戸町中野	向日市役所南側告示板横	34.9479816	135.6980518
8-5	寺戸町大牧1	防火水槽	34.9528161	135.6939603
8-6	寺戸町大牧	大牧西公園	34.9495064	135.6942746
8-7	寺戸町大牧3-1	五十棲建材		
8-8	寺戸町東野辺	ひまわり公園	34.9475733	135.7046284
8-9	寺戸町中野	市役所西別館正面南	34.9482058	135.6972472
8-10	寺戸町天狗塚17	向日台団地集会所フェンス	34.9464366	135.6972608
9-1	寺戸町久々相	JR向日町駅前	34.9549118	135.7092994
9-2	寺戸町山縄手	山縄手西公園	34.9560919	135.7076108
9-3	寺戸町瓜生	JR駅前ふれあい広場	34.9560527	135.7094302
9-4	寺戸町寺田	寺田東公園	34.9596805	135.7069894
9-5	寺戸町山縄手	深田川橋公園	34.9542101	135.7076537
9-6	寺戸町修理式	修理式ふれあい公園東側	34.9580329	135.7069597
9-7	寺戸町蔵ノ町1	寺戸中学校正門南	34.9586066	135.7049249
9-8	寺戸町蔵ノ町1	寺戸中学校南側	34.9577537	135.7055955
10-1	寺戸町三ノ坪20	第4向陽小学校正門北	34.9592307	135.7009141
10-2	寺戸町ニノ坪	ニノ坪公園	34.9582882	135.7034196
10-3	寺戸町三ノ坪	第5保育所南側フェンス	34.9587516	135.7025597
10-4	寺戸町永田	永田公園	34.9584084	135.7009258
10-5	寺戸町三ノ坪	第4向陽小学校北東フェンス	34.9595693	135.7029352
10-6	寺戸町八ノ坪	洛西口さくら公園	34.9628624	135.7058402
10-7	寺戸町七ノ坪	洛西口つつじ公園	34.9607345	135.7041356
11-1	鶏冠井町沢ノ東	沢ノ東公園	34.9407023	135.7116454
11-2	上植野町地田5-3	第6保育所正門東	34.9387403	135.7102916
11-3	上植野町庄ノ内8-5	庄ノ内公園北側	34.9316426	135.7072713
11-4	上植野町車返	向日合同宿舎西側歩道面	34.9343174	135.707283
11-5	上植野町北淀井	北淀井公園北側	34.9329387	135.7130326
11-6	上植野町五ノ坪1	第5向陽小学校正門東	34.9358779	135.711511
11-7	上植野町＋ヶ坪	十ヶ坪公園西側	34.9302194	135.7108673
12-1	物集女町北ノロ1	北ノロ公園	34.9660684	135.6908023
12-2	物集女町北ノロ2	北ノロ南公園	34.9653343	135.691843
12-3	物集女町池ノ裏	北原歯科南側府道面	34.9663357	135.6941818
12-4	物集女町吉田1	西ノ岡中学校南西	34.9656874	135.6977318
12-5	寺戸町石田1付近	府道中山稲荷線歩道面	34.964466	135.7013724
12-6	寺戸町八反田	八反田公園	34.9648718	135.7010851
12-7	物集女町ヲサン田	ヲサン田公園	34.9647267	135.6966471
