code	address	place	lat	lon
01-01	京都府長岡京市一里塚2番地	メゾン神足7棟西側	34.9251797	135.6998156
01-02	京都府長岡京市神足1丁目9番25号	長岡京駅西自転車駐車場入口	34.924582	135.7009076
01-03	京都府長岡京市神足2丁目4番地内	JR長岡京駅西口ロータリー	34.9233643	135.7004891
01-04	長岡京市開田4丁目14番8号東	JA京都中央東側	34.9234635	135.6987259
01-05	京都府長岡京市神足3丁目2番1号	神足小学校東側	34.9222662	135.6978864
01-06	京都府長岡京市開田4丁目2番10号南	長岡自動車教習所専用駐車場	34.9215517	135.6917731
01-07	京都府長岡京市開田4丁目11番地内	イズミヤ第2駐車場	34.9224442	135.6930468
02-01	京都府長岡京市馬場図所地内	見場走りバス停前	34.9269691	135.706888
02-02	京都府長岡京市神足神田2番地4東	神田公園入口	34.9259092	135.7092731
02-03	京都府長岡京市馬場民家浦地内	馬場橋西側	34.9262489	135.70309
02-04	京都府長岡京市神足太田26番地15	太田2号公園入口	34.9176839	135.7075114
02-05	京都府長岡京市東和苑21-2	東和苑中公園北側	34.9230061	135.7076464
02-06	京都府長岡京市東神足2丁目17番1号	長岡第九小学校西側	34.9212862	135.7036067
02-07	京都府長岡京市東神足2丁目1番地内	JR長岡京駅東口交差点	34.9230757	135.7018689
02-08	京都府長岡京市東神足2丁目17番1号	長岡第九小学校東側	34.920462	135.7036877
03-01	京都府長岡京市勝竜寺8番4号北	勝竜寺城公園駐車場前防火水槽西側	34.9177498	135.6998939
03-02	京都府長岡京市勝竜寺24番1号	南浦自治会館前	34.9160989	135.7002729
03-03	京都府長岡京市勝竜寺29番1号	長岡第八小学校北側	34.9152311	135.6994045
03-04	京都府長岡京市勝竜寺29番1号	長岡第八小学校南側	34.9142238	135.6990558
03-05	京都府長岡京市勝竜寺二ノ坪7番地13	二ノ坪公園北側	34.9108776	135.7026226
03-06	京都府長岡京市勝竜寺30番1号北	恵解山古墳公園	34.9140418	135.6971092
03-07	京都府長岡京市城の里15番1号	城の里中公園南側	34.9159539	135.706043
03-08	京都府長岡京市城の里26番地5	城の里西公園南側	34.9159169	135.7032054
04-01	京都府長岡京市友岡1丁目2番地内	ポリテクセンター東側	34.9189284	135.6921728
04-02	京都府長岡京市友岡2丁目10番40号西	京都コープ長岡駐車場	34.916425	135.6937802
04-03	京都府長岡京市友岡1丁目2番4号	長岡第四小学校南側	34.9171676	135.6930102
04-04	京都府長岡京市調子2丁目2番地内	市営西山天王山駅東駐車場調子八角交差点	34.9125933	135.6896556
04-05	京都府長岡京市花山2丁目35番地2東	花山2丁目阪急沿い(花山公園東側)	34.9194655	135.6900928
04-06	京都府長岡京市調子1丁目1番19号北	めぐみ幼稚園北側墓地	34.9133251	135.6936871
04-07	京都府長岡京市調子1丁目1番3号東	立命館西公園	34.9151144	135.6945061
04-08	京都府長岡京市友岡2丁目2番1号東	柳土木設計事務所向かい	34.9180396	135.6955801
05-01	京都府長岡京市高台4丁目7番地3	高台4号公園北側	34.9140435	135.6766325
05-02	京都府長岡京市高台2丁目9番地1	高台2号公園東側	34.9179703	135.6756143
05-03	京都府長岡京市下海印寺西山田1番地1	長岡第四中学校正門	34.9166181	135.6780502
05-04	京都府長岡京市泉が丘19番地1北	泉が丘北公園南東側	34.9159308	135.6820987
05-05	京都府長岡京市下海印寺西条地内	西条公園西南側	34.9173029	135.6820242
05-06	京都府長岡京市泉が丘地内	下海印寺川向イ南公園	34.9143325	135.6855687
05-07	京都府長岡京市金ヶ原勝坂8番地6東	高台西入口	34.9172833	135.673707
05-08	京都府長岡京市下海印寺横山52北	横山緑地	34.9189814	135.6840437
06-01	京都府長岡京市奥海印寺竹ノ下28番地2西	第二天神の杜入口	34.9230384	135.6721818
06-02	京都府長岡京市奥海印寺火ノ尾48番地26南	金ヶ原橋交差点北東	34.9205591	135.6768589
06-03	京都府長岡京市河陽が丘1丁目17番地1	河陽公園北側	34.9255875	135.6740274
06-04	京都府長岡京市梅が丘3丁目53番地1南	梅が丘西公園東側	34.9214302	135.6825187
06-05	京都府長岡京市河陽が丘2丁目18番地4	河陽が丘二丁目東公園東側	34.9270911	135.6753316
06-06	京都府長岡京市梅が丘1丁目60番地	梅が丘東公園北側	34.9203093	135.6883886
06-07	京都府長岡京市奥海印寺東条10番地1	埋蔵文化財調査センター西側	34.9241952	135.6777286
06-08	京都府長岡京市奥海印寺太鼓山46番地9南	奥海印寺太鼓山墓地東側	34.9241394	135.6809525
06-09	京都府長岡京市奥海印寺岡本地内	長岡第五小学校北側梅が丘バス停(南側)	34.921774	135.6813408
07-01	京都府長岡京市天神2丁目3番40号	西陣町交差点東南	34.9260623	135.6871131
07-02	京都府長岡京市天神3丁目3番10号	奥海印寺通り丁花園前	34.9259492	135.684199
07-03	京都府長岡京市天神2丁目8番地内	柳谷道村田製作所南側	34.9241528	135.6852354
07-04	京都府長岡京市天神4丁目5番1号	長岡中学校北東	34.9280197	135.687775
07-05	京都府長岡京市天神5丁目12番1号北	天神5丁目公園東側	34.9307225	135.6890279
07-06	京都府長岡京市天神4丁目5番4号南	東代公園	34.9267908	135.6867565
07-07	京都府長岡京市うぐいす台176番地	うぐいす台自治会館西側	34.934314	135.6842812
08-01	京都府長岡京市馬場1丁目13番地内	馬場1号公園西側	34.9266883	135.7013935
08-02	京都府長岡京市開田1丁目6番6号	三菱製紙(株)京都工場東側	34.9282922	135.6982635
08-03	京都府長岡京市開田1丁目1番1号	長岡京市役所南側	34.9263053	135.6954367
08-04	京都府長岡京市開田3丁目7番9号	長岡天神駅東自転車駐車場南側	34.9236982	135.6924053
08-05	京都府長岡京市開田3丁目6番地内	阪急長岡天神駅東口	34.9252942	135.693052
08-06	京都府長岡京市天神1丁目4番11号	八条が丘交差点南東角	34.9260705	135.688945
08-07	京都府長岡京市天神1丁目7番地内	阪急長岡天神駅西口	34.9251637	135.6923742
08-08	京都府長岡京市開田1丁目1番1号	長岡京市役所分庁舎1環境業務課事務室南側	34.9273235	135.6946476
09-01	京都府長岡京市今里北ノ町35番地	長岡第七小学校南側	34.9350031	135.6943918
09-02	京都府長岡京市一文橋2丁目4番地内	野添公園南側	34.9329861	135.6976237
09-03	京都府長岡京市柴の里1番地69北	柴の里中公園西側	34.9357503	135.6971757
09-04	京都府長岡京市野添1丁目12番5号南	野添北公園西側	34.933701	135.6973417
09-05	京都府長岡京市野添2丁目8番地内	深田公園東側	34.9335214	135.6939949
09-06	京都府長岡京市一文橋1丁目10番地内	花咲公園北側	34.9302284	135.6982541
09-07	京都府長岡京市一文橋2丁目23番7号	西田医院南側	34.9321165	135.6998052
09-08	京都府長岡京市今里川原地内	川原公園南側	34.9388899	135.6971597
10-01	京都府長岡京市長法寺谷山13番地1	多世代交流ふれあいセンター入口	34.9307814	135.6780285
10-02	京都府長岡京市粟生西条8番地	旧竹寿苑北側	34.9384174	135.6781558
10-03	京都府長岡京市うぐいす台176番地	田内公園北側	34.9358844	135.6826029
10-04	京都府長岡京市長法寺清水ヶ瀬5番地22西	清水ヶ瀬公園北側	34.9314007	135.6830488
10-05	京都府長岡京市長法寺川原谷31番地	長法寺小学校北側	34.9292592	135.6829384
10-06	京都府長岡京市長法寺川原谷31番地	長法寺小学校南側	34.9284412	135.6829545
10-07	京都府長岡京市長法寺北畠2南	上長法寺バス停北	34.9353608	135.6794679
11-01	京都府長岡京市今里1丁目12番地	舞塚会館西側	34.932218	135.6881087
11-02	京都府長岡京市今里3丁目1番地内	今里ハウジングステーション向かい	34.9350576	135.6914766
11-03	京都府長岡京市今里4丁目5番10号	長岡第三小学校西側	34.9369992	135.6884909
11-04	京都府長岡京市今里4丁目17-19東	あかね幼稚園東側バス停	34.93943	135.6905064
11-05	京都府長岡京市今里3丁目7番21号	今里自治会館東側	34.9355634	135.6910131
11-06	京都府長岡京市今里西ノ口地内	今里西ノ口南公園東側	34.9347388	135.6860399
11-07	京都府長岡京市今里彦林14番地16東	彦林公園南側	34.936361	135.6842476
12-01	京都府長岡京市井ノ内玉ノ上22	長岡第十小学校南側	34.9432891	135.6896944
12-02	京都府長岡京市井ノ内南内畑35番地	角宮神社公園北側	34.9422691	135.6889191
12-03	京都府長岡京市井ノ内南内畑35番地	辻工務店南側	34.9427181	135.6867182
12-04	京都府長岡京市西の京地内	西の京公園南側	34.9421224	135.6928814
12-05	京都府長岡京市西の京地内	西の京自治会館南方ガレージ裏水路	34.9435833	135.69306
12-06	京都府長岡京市滝ノ町2丁目2番26号	滝ノ町保育所北側	34.9423543	135.6976272
12-07	京都府長岡京市滝ノ町1丁目8番地内	滝ノ町公園南側	34.9413655	135.6957473
13-01	京都府長岡京市長岡1丁目1番1号	旧みずほ銀行長岡天神支店東側	34.9264258	135.6931665
13-02	京都府長岡京市長岡1丁目4番2号南	ざんていながいちひろば	34.9275837	135.6925922
13-03	京都府長岡京市長岡1丁目21番地内	中開田公園北側	34.9303117	135.6932271
13-04	京都府長岡京市長岡1丁目38番地内	北開田第二公園北側	34.9317386	135.6941433
13-05	京都府長岡京市長岡3丁目18番地内	八ノ坪公園西側	34.9320427	135.6912819
13-06	京都府長岡京市長岡2丁目3番1号	長岡第六小学校西側	34.9282497	135.6893205
13-07	京都府長岡京市長岡2丁目3番1号	長岡第六小学校東側	34.9287882	135.6907243
