code	address	place	lat	lon
1	相楽郡精華町大字菱田小字十ノ坪21	菱田集会所前	34.7824125	135.7908083
2	相楽郡精華町大字菱田小字宮西19-6先	平田宅北側 町道		
3	相楽郡精華町大字菱田小字川原道17-6先	泉原宅北側 町道	34.782556	135.7941389
4	相楽郡精華町大字菱田小字鈴川原9-1先	川原橋北東 町道	34.7821068	135.7977549
5	相楽郡精華町大字菱田小字西川原31-1	中久保田第1児童遊園 前	34.7846219	135.7979616
6	相楽郡精華町大字菱田小字前川原4-2先	一宮宅南側 町道	34.7811604	135.7896675
7	相楽郡精華町大字下狛小字市場65-1	舟集会所（北側） 前	34.7798023	135.7970215
8	相楽郡精華町狛田一丁目10-2	近鉄狛田駅 前	34.7800778	135.7892283
9	相楽郡精華町狛田一丁目15	こまだ保育所 南門	34.7793155	135.7915082
10	相楽郡精華町大字下狛小字河原田44	精北小学校 正門前	34.7779281	135.7924246
11	相楽郡精華町大字下狛小字浄楽10	狛田第1号踏切西側 町道	34.7789786	135.7891512
12	相楽郡精華町大字下狛小字下新庄31-4先	山際宅西側 歩道	34.7795863	135.7887884
13	相楽郡精華町大字下狛小字林前37-1	下狛会館 前		
14	相楽郡精華町大字下狛小字中垣内29-1先	グリーンハイツ前 歩道	34.7785938	135.7854547
15	相楽郡精華町大字下狛小字上新庄47-22	僧坊第1児童遊園 前	34.7795436	135.7865664
16	相楽郡精華町大字下狛小字木戸口l先	里集会所南側 町道	34.774597	135.7943665
17	相楽郡精華町大字下狛小字米田前23先	木村宅西側 町道	34.7736589	135.7908177
18	相楽郡精華町大字祝園小字国友39-1先	西村宅北側 町道	34.7666197	135.7984694
19	相楽郡精華町大字祝園小字馬場脇13先	宮本宅北側 町道	34.7664694	135.8014497
20	相楽郡精華町大字祝園水車47-1	東集会所（東側） 前	34.7638975	135.8030106
21	相楽郡精華町大字祝園正尺15-5先	（株）杉山興業西側 町道	34.7628274	135.7999682
22	相楽郡精華町大字祝園田内垣外9-5先	小山宅南側 町道	34.7616982	135.7978921
23	相楽郡精華町大字下狛小字柿添2-3先	永嶋宅南側 町道	34.7688363	135.787512
24	相楽郡精華町大字下狛小字柿添35-1	谷集会所（北側） 前	34.7698064	135.785377
25	相楽郡精華町大字北稲八間小字焼山62	北稲八間集会所 前	34.7656305	135.7831222
26	相楽郡精華町大字北稲八間小字寺垣外32	山手幹線西側 町道	34.7649145	135.7874179
27	相楽郡精華町大字北稲八間小字畑ヶ田24	川西小学校 南側	34.7657929	135.7901563
28	相楽郡精華町大字北稲八間小字寄田長19先	浅香宅南側 町道	34.7629523	135.7887025
29	相楽郡精華町大字南稲八妻小字北尻40-2先	鈴木宅東側 町道	34.7628349	135.7859665
